series	point	case	invocation	phase	round	messages	elapsed_ns	semantic_pass
socketpair-prototype	a	unconfined	0	measured	0	65536	27284725	1
socketpair-prototype	a	unconfined	0	measured	1	65536	27264007	1
socketpair-prototype	a	unconfined	0	measured	2	65536	27250885	1
socketpair-prototype	a	unconfined	0	measured	3	65536	27256002	1
socketpair-prototype	a	unconfined	0	measured	4	65536	27243897	1
socketpair-prototype	a	unconfined	0	measured	5	65536	27249370	1
socketpair-prototype	a	unconfined	0	measured	6	65536	27236795	1
socketpair-prototype	a	unconfined	0	measured	7	65536	27248194	1
socketpair-prototype	a	unconfined	0	measured	8	65536	27233523	1
socketpair-prototype	a	unconfined	0	measured	9	65536	27236938	1
socketpair-prototype	a	unconfined	0	measured	10	65536	27272259	1
socketpair-prototype	a	unconfined	0	measured	11	65536	27235621	1
socketpair-prototype	a	unconfined	0	measured	12	65536	27230240	1
socketpair-prototype	a	unconfined	0	measured	13	65536	27256056	1
socketpair-prototype	a	unconfined	0	measured	14	65536	27251599	1
socketpair-prototype	a	unconfined	1	measured	0	65536	27294958	1
socketpair-prototype	a	unconfined	1	measured	1	65536	27288591	1
socketpair-prototype	a	unconfined	1	measured	2	65536	27282077	1
socketpair-prototype	a	unconfined	1	measured	3	65536	27282602	1
socketpair-prototype	a	unconfined	1	measured	4	65536	27294213	1
socketpair-prototype	a	unconfined	1	measured	5	65536	27304813	1
socketpair-prototype	a	unconfined	1	measured	6	65536	27305742	1
socketpair-prototype	a	unconfined	1	measured	7	65536	27309374	1
socketpair-prototype	a	unconfined	1	measured	8	65536	27290724	1
socketpair-prototype	a	unconfined	1	measured	9	65536	27300705	1
socketpair-prototype	a	unconfined	1	measured	10	65536	27305592	1
socketpair-prototype	a	unconfined	1	measured	11	65536	27288922	1
socketpair-prototype	a	unconfined	1	measured	12	65536	27295078	1
socketpair-prototype	a	unconfined	1	measured	13	65536	27295358	1
socketpair-prototype	a	unconfined	1	measured	14	65536	27276383	1
socketpair-prototype	a	unconfined	2	measured	0	65536	27267759	1
socketpair-prototype	a	unconfined	2	measured	1	65536	27261565	1
socketpair-prototype	a	unconfined	2	measured	2	65536	27261520	1
socketpair-prototype	a	unconfined	2	measured	3	65536	27308149	1
socketpair-prototype	a	unconfined	2	measured	4	65536	27262073	1
socketpair-prototype	a	unconfined	2	measured	5	65536	27277670	1
socketpair-prototype	a	unconfined	2	measured	6	65536	27241091	1
socketpair-prototype	a	unconfined	2	measured	7	65536	27249195	1
socketpair-prototype	a	unconfined	2	measured	8	65536	27255842	1
socketpair-prototype	a	unconfined	2	measured	9	65536	27259200	1
socketpair-prototype	a	unconfined	2	measured	10	65536	27271120	1
socketpair-prototype	a	unconfined	2	measured	11	65536	27250556	1
socketpair-prototype	a	unconfined	2	measured	12	65536	27245347	1
socketpair-prototype	a	unconfined	2	measured	13	65536	27237758	1
socketpair-prototype	a	unconfined	2	measured	14	65536	27235494	1
socketpair-prototype	b	unconfined	0	measured	0	65536	23608245	1
socketpair-prototype	b	unconfined	0	measured	1	65536	23589605	1
socketpair-prototype	b	unconfined	0	measured	2	65536	23585884	1
socketpair-prototype	b	unconfined	0	measured	3	65536	23578860	1
socketpair-prototype	b	unconfined	0	measured	4	65536	23582868	1
socketpair-prototype	b	unconfined	0	measured	5	65536	23595013	1
socketpair-prototype	b	unconfined	0	measured	6	65536	23569193	1
socketpair-prototype	b	unconfined	0	measured	7	65536	23570379	1
socketpair-prototype	b	unconfined	0	measured	8	65536	23587671	1
socketpair-prototype	b	unconfined	0	measured	9	65536	23571894	1
socketpair-prototype	b	unconfined	0	measured	10	65536	23660385	1
socketpair-prototype	b	unconfined	0	measured	11	65536	23564681	1
socketpair-prototype	b	unconfined	0	measured	12	65536	23570072	1
socketpair-prototype	b	unconfined	0	measured	13	65536	23568168	1
socketpair-prototype	b	unconfined	0	measured	14	65536	23564416	1
socketpair-prototype	b	unconfined	1	measured	0	65536	23498437	1
socketpair-prototype	b	unconfined	1	measured	1	65536	23500531	1
socketpair-prototype	b	unconfined	1	measured	2	65536	23501261	1
socketpair-prototype	b	unconfined	1	measured	3	65536	23496447	1
socketpair-prototype	b	unconfined	1	measured	4	65536	23487447	1
socketpair-prototype	b	unconfined	1	measured	5	65536	23506244	1
socketpair-prototype	b	unconfined	1	measured	6	65536	23520004	1
socketpair-prototype	b	unconfined	1	measured	7	65536	23521086	1
socketpair-prototype	b	unconfined	1	measured	8	65536	23519777	1
socketpair-prototype	b	unconfined	1	measured	9	65536	23512998	1
socketpair-prototype	b	unconfined	1	measured	10	65536	23519662	1
socketpair-prototype	b	unconfined	1	measured	11	65536	23516388	1
socketpair-prototype	b	unconfined	1	measured	12	65536	23498533	1
socketpair-prototype	b	unconfined	1	measured	13	65536	23499929	1
socketpair-prototype	b	unconfined	1	measured	14	65536	23579252	1
socketpair-prototype	b	unconfined	2	measured	0	65536	23577926	1
socketpair-prototype	b	unconfined	2	measured	1	65536	23578590	1
socketpair-prototype	b	unconfined	2	measured	2	65536	23561053	1
socketpair-prototype	b	unconfined	2	measured	3	65536	23572111	1
socketpair-prototype	b	unconfined	2	measured	4	65536	23574112	1
socketpair-prototype	b	unconfined	2	measured	5	65536	23573541	1
socketpair-prototype	b	unconfined	2	measured	6	65536	23579511	1
socketpair-prototype	b	unconfined	2	measured	7	65536	23584957	1
socketpair-prototype	b	unconfined	2	measured	8	65536	23580552	1
socketpair-prototype	b	unconfined	2	measured	9	65536	23568942	1
socketpair-prototype	b	unconfined	2	measured	10	65536	23573412	1
socketpair-prototype	b	unconfined	2	measured	11	65536	23569616	1
socketpair-prototype	b	unconfined	2	measured	12	65536	23580427	1
socketpair-prototype	b	unconfined	2	measured	13	65536	23572443	1
socketpair-prototype	b	unconfined	2	measured	14	65536	23561690	1
socketpair-prototype	a2	unconfined	0	measured	0	65536	26743457	1
socketpair-prototype	a2	unconfined	0	measured	1	65536	26739242	1
socketpair-prototype	a2	unconfined	0	measured	2	65536	26726688	1
socketpair-prototype	a2	unconfined	0	measured	3	65536	26731421	1
socketpair-prototype	a2	unconfined	0	measured	4	65536	26726810	1
socketpair-prototype	a2	unconfined	0	measured	5	65536	26706133	1
socketpair-prototype	a2	unconfined	0	measured	6	65536	26730468	1
socketpair-prototype	a2	unconfined	0	measured	7	65536	26725736	1
socketpair-prototype	a2	unconfined	0	measured	8	65536	26748536	1
socketpair-prototype	a2	unconfined	0	measured	9	65536	26726251	1
socketpair-prototype	a2	unconfined	0	measured	10	65536	26739229	1
socketpair-prototype	a2	unconfined	0	measured	11	65536	26712975	1
socketpair-prototype	a2	unconfined	0	measured	12	65536	26718528	1
socketpair-prototype	a2	unconfined	0	measured	13	65536	26742553	1
socketpair-prototype	a2	unconfined	0	measured	14	65536	26838517	1
socketpair-prototype	a2	unconfined	1	measured	0	65536	26838935	1
socketpair-prototype	a2	unconfined	1	measured	1	65536	26833459	1
socketpair-prototype	a2	unconfined	1	measured	2	65536	26849031	1
socketpair-prototype	a2	unconfined	1	measured	3	65536	26826201	1
socketpair-prototype	a2	unconfined	1	measured	4	65536	26830618	1
socketpair-prototype	a2	unconfined	1	measured	5	65536	26845086	1
socketpair-prototype	a2	unconfined	1	measured	6	65536	26837175	1
socketpair-prototype	a2	unconfined	1	measured	7	65536	26836768	1
socketpair-prototype	a2	unconfined	1	measured	8	65536	26835965	1
socketpair-prototype	a2	unconfined	1	measured	9	65536	26854144	1
socketpair-prototype	a2	unconfined	1	measured	10	65536	26853860	1
socketpair-prototype	a2	unconfined	1	measured	11	65536	26842184	1
socketpair-prototype	a2	unconfined	1	measured	12	65536	26835072	1
socketpair-prototype	a2	unconfined	1	measured	13	65536	26837949	1
socketpair-prototype	a2	unconfined	1	measured	14	65536	26844643	1
socketpair-prototype	a2	unconfined	2	measured	0	65536	26778744	1
socketpair-prototype	a2	unconfined	2	measured	1	65536	26777465	1
socketpair-prototype	a2	unconfined	2	measured	2	65536	26782639	1
socketpair-prototype	a2	unconfined	2	measured	3	65536	26775984	1
