source	point	profile	actual_preempt	round	logical_ops	elapsed_ns	ns_per_op	semantic_pass
formal	parent-a	u0	full	0	65536	22425550	342.186737	1
formal	parent-a	u0	full	1	65536	22429879	342.252792	1
formal	parent-a	u0	full	2	65536	22417918	342.070282	1
formal	parent-a	u0	full	3	65536	22430428	342.261169	1
formal	parent-a	u0	full	4	65536	22426014	342.193817	1
formal	parent-a	u0	full	5	65536	22382891	341.535812	1
formal	parent-a	u0	full	6	65536	22404649	341.867813	1
formal	parent-a	u0	full	7	65536	22402635	341.837082	1
formal	parent-a	u0	full	8	65536	22382707	341.533005	1
formal	parent-a	u0	full	9	65536	22402210	341.830597	1
formal	parent-a	u0	full	10	65536	22369202	341.326935	1
formal	parent-a	u0	full	11	65536	22413725	342.006302	1
formal	parent-a	u0	full	12	65536	22417539	342.064499	1
formal	parent-a	u0	full	13	65536	22407901	341.917435	1
formal	parent-a	u0	full	14	65536	22403172	341.845276	1
formal	parent-a	s0	full	0	65536	20547657	313.532364	1
formal	parent-a	s0	full	1	65536	20593974	314.239105	1
formal	parent-a	s0	full	2	65536	20586036	314.117981	1
formal	parent-a	s0	full	3	65536	20577182	313.982880	1
formal	parent-a	s0	full	4	65536	20588641	314.157730	1
formal	parent-a	s0	full	5	65536	20595925	314.268875	1
formal	parent-a	s0	full	6	65536	20599361	314.321304	1
formal	parent-a	s0	full	7	65536	20588650	314.157867	1
formal	parent-a	s0	full	8	65536	20583151	314.073959	1
formal	parent-a	s0	full	9	65536	20579460	314.017639	1
formal	parent-a	s0	full	10	65536	20585122	314.104034	1
formal	parent-a	s0	full	11	65536	20578589	314.004349	1
formal	parent-a	s0	full	12	65536	20579889	314.024185	1
formal	parent-a	s0	full	13	65536	20583490	314.079132	1
formal	parent-a	s0	full	14	65536	20576196	313.967834	1
formal	child	u0	full	0	65536	25797530	393.639069	1
formal	child	u0	full	1	65536	25800996	393.691956	1
formal	child	u0	full	2	65536	25896913	395.155533	1
formal	child	u0	full	3	65536	25789978	393.523834	1
formal	child	u0	full	4	65536	25791540	393.547668	1
formal	child	u0	full	5	65536	25798571	393.654953	1
formal	child	u0	full	6	65536	25790853	393.537186	1
formal	child	u0	full	7	65536	25809992	393.829224	1
formal	child	u0	full	8	65536	25812039	393.860458	1
formal	child	u0	full	9	65536	25797209	393.634171	1
formal	child	u0	full	10	65536	25808872	393.812134	1
formal	child	u0	full	11	65536	25796749	393.627151	1
formal	child	u0	full	12	65536	25818307	393.956100	1
formal	child	u0	full	13	65536	25807158	393.785980	1
formal	child	u0	full	14	65536	25807797	393.795731	1
formal	child	s0	full	0	65536	24485133	373.613480	1
formal	child	s0	full	1	65536	24467184	373.339600	1
formal	child	s0	full	2	65536	24469605	373.376541	1
formal	child	s0	full	3	65536	24490164	373.690247	1
formal	child	s0	full	4	65536	24484625	373.605728	1
formal	child	s0	full	5	65536	24484305	373.600845	1
formal	child	s0	full	6	65536	24499203	373.828171	1
formal	child	s0	full	7	65536	24502214	373.874115	1
formal	child	s0	full	8	65536	24506924	373.945984	1
formal	child	s0	full	9	65536	24486404	373.632874	1
formal	child	s0	full	10	65536	24480407	373.541367	1
formal	child	s0	full	11	65536	24476790	373.486176	1
formal	child	s0	full	12	65536	24487131	373.643967	1
formal	child	s0	full	13	65536	24479605	373.529129	1
formal	child	s0	full	14	65536	24477648	373.499268	1
formal	parent-b	u0	full	0	65536	22627028	345.261047	1
