implementation	slot	round	pairs	ns_per_pair	semantic_pass
formal	parent-a	0	4096	1046.125732	1
formal	parent-a	1	4096	1045.971436	1
formal	parent-a	2	4096	1045.194580	1
formal	parent-a	3	4096	1046.799805	1
formal	parent-a	4	4096	1044.904053	1
formal	parent-a	5	4096	1045.453613	1
formal	parent-a	6	4096	1045.884277	1
formal	parent-a	7	4096	1045.566406	1
formal	parent-a	8	4096	1045.316895	1
formal	parent-a	9	4096	1046.261963	1
formal	parent-a	10	4096	1046.055664	1
formal	parent-a	11	4096	1043.961426	1
formal	parent-a	12	4096	1046.551758	1
formal	parent-a	13	4096	1046.048584	1
formal	parent-a	14	4096	1045.208496	1
formal	child	0	4096	1130.442383	1
formal	child	1	4096	1129.400391	1
formal	child	2	4096	1128.152100	1
formal	child	3	4096	1127.475098	1
formal	child	4	4096	1128.094482	1
formal	child	5	4096	1127.134277	1
formal	child	6	4096	1129.242432	1
formal	child	7	4096	1130.067627	1
formal	child	8	4096	1128.511719	1
formal	child	9	4096	1129.354980	1
formal	child	10	4096	1129.323486	1
formal	child	11	4096	1128.940918	1
formal	child	12	4096	1128.472412	1
formal	child	13	4096	1131.755371	1
formal	child	14	4096	1124.192139	1
formal	parent-b	0	4096	1042.661621	1
formal	parent-b	1	4096	1043.831299	1
formal	parent-b	2	4096	1043.320557	1
formal	parent-b	3	4096	1043.000244	1
formal	parent-b	4	4096	1041.792480	1
formal	parent-b	5	4096	1042.903076	1
formal	parent-b	6	4096	1043.253418	1
formal	parent-b	7	4096	1043.262695	1
formal	parent-b	8	4096	1042.085205	1
formal	parent-b	9	4096	1044.454346	1
formal	parent-b	10	4096	1041.261963	1
formal	parent-b	11	4096	1042.135254	1
formal	parent-b	12	4096	1042.105957	1
formal	parent-b	13	4096	1042.384033	1
formal	parent-b	14	4096	1042.876953	1
standalone	parent-a	0	4096	1040.792969	1
standalone	parent-a	1	4096	1040.501221	1
standalone	parent-a	2	4096	1040.341064	1
standalone	parent-a	3	4096	1041.086914	1
standalone	parent-a	4	4096	1040.898926	1
standalone	parent-a	5	4096	1039.894287	1
standalone	parent-a	6	4096	1039.597656	1
standalone	parent-a	7	4096	1041.117676	1
standalone	parent-a	8	4096	1040.129639	1
standalone	parent-a	9	4096	1040.788574	1
standalone	parent-a	10	4096	1040.009766	1
standalone	parent-a	11	4096	1040.927246	1
standalone	parent-a	12	4096	1039.856934	1
standalone	parent-a	13	4096	1038.124756	1
standalone	parent-a	14	4096	1039.984863	1
standalone	child	0	4096	1109.892334	1
standalone	child	1	4096	1109.942871	1
standalone	child	2	4096	1112.241455	1
standalone	child	3	4096	1111.871094	1
standalone	child	4	4096	1109.593018	1
standalone	child	5	4096	1111.242432	1
standalone	child	6	4096	1113.218262	1
standalone	child	7	4096	1110.807617	1
standalone	child	8	4096	1114.625244	1
standalone	child	9	4096	1110.420898	1
standalone	child	10	4096	1109.944092	1
standalone	child	11	4096	1112.264160	1
standalone	child	12	4096	1109.080322	1
standalone	child	13	4096	1109.265137	1
standalone	child	14	4096	1109.328125	1
standalone	parent-b	0	4096	1050.223145	1
standalone	parent-b	1	4096	1046.320801	1
standalone	parent-b	2	4096	1045.852051	1
standalone	parent-b	3	4096	1044.893311	1
standalone	parent-b	4	4096	1046.298096	1
standalone	parent-b	5	4096	1044.694092	1
standalone	parent-b	6	4096	1044.937744	1
standalone	parent-b	7	4096	1045.722412	1
standalone	parent-b	8	4096	1045.520508	1
standalone	parent-b	9	4096	1047.997559	1
standalone	parent-b	10	4096	1046.365479	1
standalone	parent-b	11	4096	1046.179932	1
standalone	parent-b	12	4096	1045.730225	1
standalone	parent-b	13	4096	1045.554199	1
standalone	parent-b	14	4096	1046.675049	1
