pair	slot	schema_version	kernel_release	boot_id	run_mode	profile	phase	round	events	successful_events	setup_count	close_count	mmap_count	munmap_count	nop_count	validation_failures	cleanup_failures	sq_dropped	cq_overflow	outstanding	timed_ns	ns_per_event	cpu	semantic_pass	sq_entries	cq_entries	features	single_mmap	ring_bytes	sqes_bytes	user_ring_addr_ok	user_sqes_addr_ok	trace_enabled	input_sha256	target_sha256
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	0	512	512	512	512	1024	1024	512	0	0	0	0	0	4590491	8965.802734	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	1	512	512	512	512	1024	1024	512	0	0	0	0	0	4364310	8524.042969	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	2	512	512	512	512	1024	1024	512	0	0	0	0	0	4253161	8306.955078	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	3	512	512	512	512	1024	1024	512	0	0	0	0	0	4261706	8323.644531	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	4	512	512	512	512	1024	1024	512	0	0	0	0	0	4327393	8451.939453	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	5	512	512	512	512	1024	1024	512	0	0	0	0	0	4357594	8510.925781	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	6	512	512	512	512	1024	1024	512	0	0	0	0	0	4331687	8460.326172	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	7	512	512	512	512	1024	1024	512	0	0	0	0	0	4223403	8248.833984	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	8	512	512	512	512	1024	1024	512	0	0	0	0	0	4260738	8321.753906	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	9	512	512	512	512	1024	1024	512	0	0	0	0	0	4272186	8344.113281	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
