comparison	slot	schema_version	kernel_release	boot_id	run_mode	profile	phase	round	events	successful_events	setup_count	close_count	mmap_count	munmap_count	nop_count	validation_failures	cleanup_failures	sq_dropped	cq_overflow	outstanding	timed_ns	ns_per_event	cpu	semantic_pass	sq_entries	cq_entries	features	single_mmap	ring_bytes	sqes_bytes	user_ring_addr_ok	user_sqes_addr_ok	trace_enabled	input_sha256	target_sha256
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	0	512	512	512	512	1024	1024	512	0	0	0	0	0	4264341	8328.791016	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	1	512	512	512	512	1024	1024	512	0	0	0	0	0	4329419	8455.896484	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	2	512	512	512	512	1024	1024	512	0	0	0	0	0	4240773	8282.759766	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	3	512	512	512	512	1024	1024	512	0	0	0	0	0	4237512	8276.390625	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	4	512	512	512	512	1024	1024	512	0	0	0	0	0	4431761	8655.783203	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	5	512	512	512	512	1024	1024	512	0	0	0	0	0	4243212	8287.523438	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	6	512	512	512	512	1024	1024	512	0	0	0	0	0	4216551	8235.451172	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	7	512	512	512	512	1024	1024	512	0	0	0	0	0	4259153	8318.658203	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	8	512	512	512	512	1024	1024	512	0	0	0	0	0	4298878	8396.246094	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-a	1	6.12.95-bm-6.12.95	cb565b35-13eb-4872-a6c4-07c25ce5638f	point	l0_standard_lifecycle	measured	9	512	512	512	512	1024	1024	512	0	0	0	0	0	4143145	8092.080078	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
