boot	round	phase	case	cpu	reads	expected	bytes_per_read	total_bytes	wall_ns	thread_cpu_ns	semantic_pass
base-a	0	warmup	period	2	4096	1000000	8	32768	35424669	35427287	true
base-a	0	warmup	rr	2	4096	100	4	16384	1034874	1037216	true
base-a	0	warmup	runtime	2	4096	950000	7	28672	35374418	35376873	true
base-a	1	warmup	period	2	4096	1000000	8	32768	34996631	34998586	true
base-a	1	warmup	rr	2	4096	100	4	16384	1024661	1026226	true
base-a	1	warmup	runtime	2	4096	950000	7	28672	34785569	34787966	true
base-a	2	warmup	period	2	4096	1000000	8	32768	35231609	35234029	true
base-a	2	warmup	rr	2	4096	100	4	16384	1039953	1042361	true
base-a	2	warmup	runtime	2	4096	950000	7	28672	35266724	35268785	true
base-a	3	measured	period	2	4096	1000000	8	32768	34806796	34808308	true
base-a	3	measured	rr	2	4096	100	4	16384	1021650	1023474	true
base-a	3	measured	runtime	2	4096	950000	7	28672	35353297	35356108	true
base-a	4	measured	period	2	4096	1000000	8	32768	34759455	34761525	true
base-a	4	measured	rr	2	4096	100	4	16384	1060609	1062722	true
base-a	4	measured	runtime	2	4096	950000	7	28672	34920678	34923460	true
base-a	5	measured	period	2	4096	1000000	8	32768	35408084	35410577	true
base-a	5	measured	rr	2	4096	100	4	16384	1033403	1035477	true
base-a	5	measured	runtime	2	4096	950000	7	28672	35388715	35391180	true
base-a	6	measured	period	2	4096	1000000	8	32768	34958481	34960683	true
base-a	6	measured	rr	2	4096	100	4	16384	1022619	1024600	true
base-a	6	measured	runtime	2	4096	950000	7	28672	34648624	34650704	true
base-a	7	measured	period	2	4096	1000000	8	32768	35325750	35328365	true
base-a	7	measured	rr	2	4096	100	4	16384	1058876	1060760	true
base-a	7	measured	runtime	2	4096	950000	7	28672	35416850	35419277	true
base-a	8	measured	period	2	4096	1000000	8	32768	34689323	34690869	true
base-a	8	measured	rr	2	4096	100	4	16384	1036092	1038723	true
base-a	8	measured	runtime	2	4096	950000	7	28672	35253323	35248135	true
base-a	9	measured	period	2	4096	1000000	8	32768	34882712	34884652	true
base-a	9	measured	rr	2	4096	100	4	16384	1056668	1059226	true
base-a	9	measured	runtime	2	4096	950000	7	28672	35447647	35449765	true
base-a	10	measured	period	2	4096	1000000	8	32768	34897424	34899276	true
base-a	10	measured	rr	2	4096	100	4	16384	1023868	1026268	true
base-a	10	measured	runtime	2	4096	950000	7	28672	34760761	34762668	true
base-a	11	measured	period	2	4096	1000000	8	32768	35359409	35361772	true
base-a	11	measured	rr	2	4096	100	4	16384	1027560	1030132	true
base-a	11	measured	runtime	2	4096	950000	7	28672	34890898	34892457	true
patch	0	warmup	period	2	4096	1000000	8	32768	1069598	1072877	true
patch	0	warmup	rr	2	4096	100	4	16384	1033405	1035520	true
patch	0	warmup	runtime	2	4096	950000	7	28672	1073756	1076151	true
patch	1	warmup	period	2	4096	1000000	8	32768	1097759	1099730	true
patch	1	warmup	rr	2	4096	100	4	16384	1025108	1027561	true
patch	1	warmup	runtime	2	4096	950000	7	28672	1078474	1080656	true
patch	2	warmup	period	2	4096	1000000	8	32768	1088685	1090666	true
patch	2	warmup	rr	2	4096	100	4	16384	1020165	1021627	true
patch	2	warmup	runtime	2	4096	950000	7	28672	1101993	1103927	true
patch	3	measured	period	2	4096	1000000	8	32768	1088982	1090319	true
patch	3	measured	rr	2	4096	100	4	16384	1023135	1025585	true
patch	3	measured	runtime	2	4096	950000	7	28672	1074256	1076743	true
patch	4	measured	period	2	4096	1000000	8	32768	1097575	1100118	true
patch	4	measured	rr	2	4096	100	4	16384	1016062	1018346	true
patch	4	measured	runtime	2	4096	950000	7	28672	1095308	1097625	true
patch	5	measured	period	2	4096	1000000	8	32768	1076794	1079357	true
patch	5	measured	rr	2	4096	100	4	16384	1041222	1044660	true
patch	5	measured	runtime	2	4096	950000	7	28672	1078822	1081277	true
patch	6	measured	period	2	4096	1000000	8	32768	1079386	1081988	true
patch	6	measured	rr	2	4096	100	4	16384	1043006	1045805	true
patch	6	measured	runtime	2	4096	950000	7	28672	1071915	1074148	true
patch	7	measured	period	2	4096	1000000	8	32768	1079977	1082480	true
patch	7	measured	rr	2	4096	100	4	16384	1015848	1017144	true
patch	7	measured	runtime	2	4096	950000	7	28672	1071984	1074384	true
patch	8	measured	period	2	4096	1000000	8	32768	1077535	1080011	true
patch	8	measured	rr	2	4096	100	4	16384	1020411	1022889	true
patch	8	measured	runtime	2	4096	950000	7	28672	1088798	1090320	true
patch	9	measured	period	2	4096	1000000	8	32768	1077240	1079802	true
