boot	case	seq	returned_bytes	rt_handler	rr_handler	rebuild	partition	account	build	locks	unlocks
base-a	period	0	8	1	0	1	1	1	0	2	2
base-a	period	1	8	1	0	1	1	1	0	2	2
base-a	period	2	8	1	0	1	1	1	0	2	2
base-a	period	3	8	1	0	1	1	1	0	2	2
base-a	period	4	8	1	0	1	1	1	0	2	2
base-a	period	5	8	1	0	1	1	1	0	2	2
base-a	period	6	8	1	0	1	1	1	0	2	2
base-a	period	7	8	1	0	1	1	1	0	2	2
base-a	runtime	0	7	1	0	1	1	1	0	2	2
base-a	runtime	1	7	1	0	1	1	1	0	2	2
base-a	runtime	2	7	1	0	1	1	1	0	2	2
base-a	runtime	3	7	1	0	1	1	1	0	2	2
base-a	runtime	4	7	1	0	1	1	1	0	2	2
base-a	runtime	5	7	1	0	1	1	1	0	2	2
base-a	runtime	6	7	1	0	1	1	1	0	2	2
base-a	runtime	7	7	1	0	1	1	1	0	2	2
base-a	rr	0	4	0	1	0	0	0	0	0	0
base-a	rr	1	4	0	1	0	0	0	0	0	0
base-a	rr	2	4	0	1	0	0	0	0	0	0
base-a	rr	3	4	0	1	0	0	0	0	0	0
base-a	rr	4	4	0	1	0	0	0	0	0	0
base-a	rr	5	4	0	1	0	0	0	0	0	0
base-a	rr	6	4	0	1	0	0	0	0	0	0
base-a	rr	7	4	0	1	0	0	0	0	0	0
patch	period	0	8	1	0	0	0	0	0	1	1
patch	period	1	8	1	0	0	0	0	0	1	1
patch	period	2	8	1	0	0	0	0	0	1	1
patch	period	3	8	1	0	0	0	0	0	1	1
patch	period	4	8	1	0	0	0	0	0	1	1
patch	period	5	8	1	0	0	0	0	0	1	1
patch	period	6	8	1	0	0	0	0	0	1	1
patch	period	7	8	1	0	0	0	0	0	1	1
patch	runtime	0	7	1	0	0	0	0	0	1	1
patch	runtime	1	7	1	0	0	0	0	0	1	1
patch	runtime	2	7	1	0	0	0	0	0	1	1
patch	runtime	3	7	1	0	0	0	0	0	1	1
patch	runtime	4	7	1	0	0	0	0	0	1	1
patch	runtime	5	7	1	0	0	0	0	0	1	1
patch	runtime	6	7	1	0	0	0	0	0	1	1
patch	runtime	7	7	1	0	0	0	0	0	1	1
patch	rr	0	4	0	1	0	0	0	0	0	0
patch	rr	1	4	0	1	0	0	0	0	0	0
patch	rr	2	4	0	1	0	0	0	0	0	0
patch	rr	3	4	0	1	0	0	0	0	0	0
patch	rr	4	4	0	1	0	0	0	0	0	0
patch	rr	5	4	0	1	0	0	0	0	0	0
patch	rr	6	4	0	1	0	0	0	0	0	0
patch	rr	7	4	0	1	0	0	0	0	0	0
base-b	period	0	8	1	0	1	1	1	0	2	2
base-b	period	1	8	1	0	1	1	1	0	2	2
base-b	period	2	8	1	0	1	1	1	0	2	2
base-b	period	3	8	1	0	1	1	1	0	2	2
base-b	period	4	8	1	0	1	1	1	0	2	2
base-b	period	5	8	1	0	1	1	1	0	2	2
base-b	period	6	8	1	0	1	1	1	0	2	2
base-b	period	7	8	1	0	1	1	1	0	2	2
base-b	runtime	0	7	1	0	1	1	1	0	2	2
base-b	runtime	1	7	1	0	1	1	1	0	2	2
base-b	runtime	2	7	1	0	1	1	1	0	2	2
base-b	runtime	3	7	1	0	1	1	1	0	2	2
base-b	runtime	4	7	1	0	1	1	1	0	2	2
base-b	runtime	5	7	1	0	1	1	1	0	2	2
base-b	runtime	6	7	1	0	1	1	1	0	2	2
base-b	runtime	7	7	1	0	1	1	1	0	2	2
base-b	rr	0	4	0	1	0	0	0	0	0	0
base-b	rr	1	4	0	1	0	0	0	0	0	0
base-b	rr	2	4	0	1	0	0	0	0	0	0
base-b	rr	3	4	0	1	0	0	0	0	0	0
base-b	rr	4	4	0	1	0	0	0	0	0	0
base-b	rr	5	4	0	1	0	0	0	0	0	0
base-b	rr	6	4	0	1	0	0	0	0	0	0
base-b	rr	7	4	0	1	0	0	0	0	0	0
