boot	phase	seq	name	kind	returned_bytes	errno	period	runtime	rt_handler	rebuild	partition	account	update
base-a	semantic	0	same-period	1	8	0	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	1	same-runtime	2	7	0	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	2	change-period	1	8	0	1100000	950000	NA	NA	NA	NA	NA
base-a	semantic	3	restore-period	1	8	0	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	4	change-runtime	2	7	0	1000000	900000	NA	NA	NA	NA	NA
base-a	semantic	5	restore-runtime	2	7	0	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	6	period-minimum	1	-1	22	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	7	runtime-minimum	2	-1	22	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	8	runtime-over-period	2	-1	22	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	9	period-under-runtime	1	-1	22	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	10	runtime-invalid-text	2	-1	22	1000000	950000	NA	NA	NA	NA	NA
base-a	semantic	11	period-invalid-text	1	-1	22	1000000	950000	NA	NA	NA	NA	NA
base-a	probe	0	same-period	1	8	0	1000000	950000	1	1	1	1	1
base-a	probe	1	same-runtime	2	7	0	1000000	950000	1	1	1	1	1
base-a	probe	2	change-period	1	8	0	1100000	950000	1	1	1	1	1
base-a	probe	3	restore-period	1	8	0	1000000	950000	1	1	1	1	1
base-a	probe	4	change-runtime	2	7	0	1000000	900000	1	1	1	1	1
base-a	probe	5	restore-runtime	2	7	0	1000000	950000	1	1	1	1	1
base-a	probe	6	period-minimum	1	-1	22	1000000	950000	1	1	1	1	0
base-a	probe	7	runtime-minimum	2	-1	22	1000000	950000	1	1	1	1	0
base-a	probe	8	runtime-over-period	2	-1	22	1000000	950000	1	1	1	1	0
base-a	probe	9	period-under-runtime	1	-1	22	1000000	950000	1	1	1	1	0
base-a	probe	10	runtime-invalid-text	2	-1	22	1000000	950000	1	1	1	1	0
base-a	probe	11	period-invalid-text	1	-1	22	1000000	950000	1	1	1	1	0
patch	semantic	0	same-period	1	8	0	1000000	950000	NA	NA	NA	NA	NA
patch	semantic	1	same-runtime	2	7	0	1000000	950000	NA	NA	NA	NA	NA
patch	semantic	2	change-period	1	8	0	1100000	950000	NA	NA	NA	NA	NA
patch	semantic	3	restore-period	1	8	0	1000000	950000	NA	NA	NA	NA	NA
patch	semantic	4	change-runtime	2	7	0	1000000	900000	NA	NA	NA	NA	NA
