slot	profile	round	attempts	cancel_ok	cancel_enoent	original_cqes	unexpected_cqes	bad_results	timeouts	outstanding	timed_ns	ns_per_attempt	cpu	semantic_pass
parent-a	a0_miss	0	2048	0	2048	2048	0	0	0	0	294632	143.863281	2	1
parent-a	a0_miss	1	2048	0	2048	2048	0	0	0	0	293393	143.258301	2	1
parent-a	a0_miss	2	2048	0	2048	2048	0	0	0	0	294662	143.877930	2	1
parent-a	a0_miss	3	2048	0	2048	2048	0	0	0	0	295252	144.166016	2	1
parent-a	a0_miss	4	2048	0	2048	2048	0	0	0	0	294196	143.650391	2	1
parent-a	a0_miss	5	2048	0	2048	2048	0	0	0	0	296100	144.580078	2	1
parent-a	a0_miss	6	2048	0	2048	2048	0	0	0	0	293657	143.387207	2	1
parent-a	a0_miss	7	2048	0	2048	2048	0	0	0	0	294665	143.879395	2	1
parent-a	a0_miss	8	2048	0	2048	2048	0	0	0	0	294520	143.808594	2	1
parent-a	a0_miss	9	2048	0	2048	2048	0	0	0	0	294243	143.673340	2	1
parent-a	a0_miss	10	2048	0	2048	2048	0	0	0	0	294237	143.670410	2	1
parent-a	a0_miss	11	2048	0	2048	2048	0	0	0	0	292391	142.769043	2	1
parent-a	a0_miss	12	2048	0	2048	2048	0	0	0	0	293958	143.534180	2	1
parent-a	a0_miss	13	2048	0	2048	2048	0	0	0	0	293668	143.392578	2	1
parent-a	a0_miss	14	2048	0	2048	2048	0	0	0	0	293659	143.388184	2	1
parent-a	a0_hit	0	2048	2048	0	2048	0	0	0	0	269069	131.381348	2	1
parent-a	a0_hit	1	2048	2048	0	2048	0	0	0	0	269350	131.518555	2	1
parent-a	a0_hit	2	2048	2048	0	2048	0	0	0	0	268479	131.093262	2	1
parent-a	a0_hit	3	2048	2048	0	2048	0	0	0	0	269232	131.460938	2	1
parent-a	a0_hit	4	2048	2048	0	2048	0	0	0	0	269878	131.776367	2	1
parent-a	a0_hit	5	2048	2048	0	2048	0	0	0	0	271093	132.369629	2	1
parent-a	a0_hit	6	2048	2048	0	2048	0	0	0	0	268927	131.312012	2	1
parent-a	a0_hit	7	2048	2048	0	2048	0	0	0	0	271618	132.625977	2	1
parent-a	a0_hit	8	2048	2048	0	2048	0	0	0	0	268489	131.098145	2	1
parent-a	a0_hit	9	2048	2048	0	2048	0	0	0	0	268499	131.103027	2	1
parent-a	a0_hit	10	2048	2048	0	2048	0	0	0	0	269115	131.403809	2	1
parent-a	a0_hit	11	2048	2048	0	2048	0	0	0	0	268980	131.337891	2	1
parent-a	a0_hit	12	2048	2048	0	2048	0	0	0	0	270686	132.170898	2	1
parent-a	a0_hit	13	2048	2048	0	2048	0	0	0	0	269087	131.390137	2	1
parent-a	a0_hit	14	2048	2048	0	2048	0	0	0	0	271500	132.568359	2	1
child	a0_miss	0	2048	0	2048	2048	0	0	0	0	321081	156.777832	2	1
child	a0_miss	1	2048	0	2048	2048	0	0	0	0	321621	157.041504	2	1
child	a0_miss	2	2048	0	2048	2048	0	0	0	0	319361	155.937988	2	1
child	a0_miss	3	2048	0	2048	2048	0	0	0	0	318808	155.667969	2	1
child	a0_miss	4	2048	0	2048	2048	0	0	0	0	319204	155.861328	2	1
child	a0_miss	5	2048	0	2048	2048	0	0	0	0	319234	155.875977	2	1
child	a0_miss	6	2048	0	2048	2048	0	0	0	0	320526	156.506836	2	1
child	a0_miss	7	2048	0	2048	2048	0	0	0	0	319230	155.874023	2	1
child	a0_miss	8	2048	0	2048	2048	0	0	0	0	319198	155.858398	2	1
child	a0_miss	9	2048	0	2048	2048	0	0	0	0	319776	156.140625	2	1
child	a0_miss	10	2048	0	2048	2048	0	0	0	0	320008	156.253906	2	1
child	a0_miss	11	2048	0	2048	2048	0	0	0	0	318978	155.750977	2	1
child	a0_miss	12	2048	0	2048	2048	0	0	0	0	319618	156.063477	2	1
child	a0_miss	13	2048	0	2048	2048	0	0	0	0	320166	156.331055	2	1
child	a0_miss	14	2048	0	2048	2048	0	0	0	0	319717	156.111816	2	1
child	a0_hit	0	2048	2048	0	2048	0	0	0	0	266333	130.045410	2	1
child	a0_hit	1	2048	2048	0	2048	0	0	0	0	267108	130.423828	2	1
child	a0_hit	2	2048	2048	0	2048	0	0	0	0	266504	130.128906	2	1
child	a0_hit	3	2048	2048	0	2048	0	0	0	0	267897	130.809082	2	1
child	a0_hit	4	2048	2048	0	2048	0	0	0	0	265865	129.816895	2	1
child	a0_hit	5	2048	2048	0	2048	0	0	0	0	266087	129.925293	2	1
child	a0_hit	6	2048	2048	0	2048	0	0	0	0	265687	129.729980	2	1
child	a0_hit	7	2048	2048	0	2048	0	0	0	0	266784	130.265625	2	1
child	a0_hit	8	2048	2048	0	2048	0	0	0	0	268524	131.115234	2	1
child	a0_hit	9	2048	2048	0	2048	0	0	0	0	265725	129.748535	2	1
child	a0_hit	10	2048	2048	0	2048	0	0	0	0	268174	130.944336	2	1
child	a0_hit	11	2048	2048	0	2048	0	0	0	0	265875	129.821777	2	1
child	a0_hit	12	2048	2048	0	2048	0	0	0	0	268018	130.868164	2	1
child	a0_hit	13	2048	2048	0	2048	0	0	0	0	266104	129.933594	2	1
child	a0_hit	14	2048	2048	0	2048	0	0	0	0	268871	131.284668	2	1
parent-b	a0_miss	0	2048	0	2048	2048	0	0	0	0	293494	143.307617	2	1
parent-b	a0_miss	1	2048	0	2048	2048	0	0	0	0	296347	144.700684	2	1
parent-b	a0_miss	2	2048	0	2048	2048	0	0	0	0	293665	143.391113	2	1
parent-b	a0_miss	3	2048	0	2048	2048	0	0	0	0	294937	144.012207	2	1
parent-b	a0_miss	4	2048	0	2048	2048	0	0	0	0	292658	142.899414	2	1
parent-b	a0_miss	5	2048	0	2048	2048	0	0	0	0	293852	143.482422	2	1
parent-b	a0_miss	6	2048	0	2048	2048	0	0	0	0	295293	144.186035	2	1
parent-b	a0_miss	7	2048	0	2048	2048	0	0	0	0	292136	142.644531	2	1
parent-b	a0_miss	8	2048	0	2048	2048	0	0	0	0	293119	143.124512	2	1
parent-b	a0_miss	9	2048	0	2048	2048	0	0	0	0	292498	142.821289	2	1
parent-b	a0_miss	10	2048	0	2048	2048	0	0	0	0	292562	142.852539	2	1
parent-b	a0_miss	11	2048	0	2048	2048	0	0	0	0	292090	142.622070	2	1
