implementation	slot	round	pairs	ns_per_pair	semantic_pass
formal	parent-a	0	16384	180.076050	1
formal	parent-a	1	16384	180.078308	1
formal	parent-a	2	16384	180.492249	1
formal	parent-a	3	16384	179.854431	1
formal	parent-a	4	16384	180.074158	1
formal	parent-a	5	16384	179.865662	1
formal	parent-a	6	16384	180.532715	1
formal	parent-a	7	16384	180.080261	1
formal	parent-a	8	16384	179.789978	1
formal	parent-a	9	16384	179.749084	1
formal	parent-a	10	16384	180.222839	1
formal	parent-a	11	16384	180.029907	1
formal	parent-a	12	16384	179.999023	1
formal	parent-a	13	16384	180.083679	1
formal	parent-a	14	16384	180.255005	1
formal	child	0	16384	196.477783	1
formal	child	1	16384	196.605042	1
formal	child	2	16384	196.799194	1
formal	child	3	16384	196.525024	1
formal	child	4	16384	196.540955	1
formal	child	5	16384	196.835022	1
formal	child	6	16384	196.827454	1
formal	child	7	16384	196.758118	1
formal	child	8	16384	196.353333	1
formal	child	9	16384	196.449280	1
formal	child	10	16384	196.537659	1
formal	child	11	16384	196.657166	1
formal	child	12	16384	196.670654	1
formal	child	13	16384	196.867371	1
formal	child	14	16384	196.802429	1
formal	parent-b	0	16384	179.603516	1
formal	parent-b	1	16384	179.429932	1
formal	parent-b	2	16384	179.658813	1
formal	parent-b	3	16384	179.659302	1
formal	parent-b	4	16384	179.619141	1
formal	parent-b	5	16384	179.496948	1
formal	parent-b	6	16384	179.480103	1
formal	parent-b	7	16384	180.182495	1
formal	parent-b	8	16384	180.120728	1
formal	parent-b	9	16384	180.086304	1
formal	parent-b	10	16384	180.100830	1
formal	parent-b	11	16384	180.319580	1
formal	parent-b	12	16384	180.132019	1
formal	parent-b	13	16384	179.852051	1
formal	parent-b	14	16384	180.095520	1
standalone	parent-a	0	16384	179.166809	1
standalone	parent-a	1	16384	180.309143	1
standalone	parent-a	2	16384	180.253601	1
standalone	parent-a	3	16384	180.711670	1
standalone	parent-a	4	16384	180.883728	1
standalone	parent-a	5	16384	180.497986	1
standalone	parent-a	6	16384	179.575195	1
standalone	parent-a	7	16384	179.771851	1
standalone	parent-a	8	16384	179.739990	1
standalone	parent-a	9	16384	180.299561	1
standalone	parent-a	10	16384	180.062134	1
standalone	parent-a	11	16384	180.467041	1
standalone	parent-a	12	16384	179.871216	1
standalone	parent-a	13	16384	180.494019	1
standalone	parent-a	14	16384	180.454895	1
standalone	child	0	16384	198.111328	1
standalone	child	1	16384	197.582031	1
standalone	child	2	16384	197.937012	1
standalone	child	3	16384	197.876526	1
standalone	child	4	16384	197.841919	1
standalone	child	5	16384	198.056091	1
standalone	child	6	16384	197.817383	1
standalone	child	7	16384	197.791565	1
standalone	child	8	16384	197.971191	1
standalone	child	9	16384	198.313538	1
standalone	child	10	16384	198.006042	1
standalone	child	11	16384	198.074341	1
standalone	child	12	16384	197.785950	1
standalone	child	13	16384	197.483398	1
standalone	child	14	16384	197.186462	1
standalone	parent-b	0	16384	179.871643	1
standalone	parent-b	1	16384	180.108704	1
standalone	parent-b	2	16384	179.821106	1
standalone	parent-b	3	16384	179.225647	1
standalone	parent-b	4	16384	179.168945	1
standalone	parent-b	5	16384	179.309814	1
standalone	parent-b	6	16384	179.745361	1
standalone	parent-b	7	16384	179.741089	1
standalone	parent-b	8	16384	179.644836	1
standalone	parent-b	9	16384	179.590027	1
standalone	parent-b	10	16384	179.279175	1
standalone	parent-b	11	16384	179.468811	1
standalone	parent-b	12	16384	179.575867	1
standalone	parent-b	13	16384	178.648987	1
standalone	parent-b	14	16384	179.332642	1
