experiment	record_type	metric_or_point	role	commit	value	unit	cv_percent	control_drift_percent	status	interpretation
new_slab_trace	mechanism	node_alloc_calls	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	4096	calls	na	na	pass	all logical node allocations returned
new_slab_trace	mechanism	all_pid_allocate_slab_calls	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	40	calls	na	na	pass	includes eight calls outside the node-allocation dynamic scope
new_slab_trace	mechanism	nested_allocate_slab_calls	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	32	calls	na	na	pass	all used the same slab-cache pointer and match 4096 divided by 128 objects per slab
new_slab_trace	mechanism	function_graph_all_slab_duration	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	132.228	us	na	na	diagnostic_only	instrumented duration includes all 40 PID calls and is not clean latency attribution
whole_process_perf	counter	cycles_vs_parent_midpoint	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	6.999	percent	1.20-7.44	-0.158	directional	child CV was 1.20-1.26 percent and parent endpoint CV was 5.56-7.44 percent; whole-process scope includes setup warmup verification and cleanup
whole_process_perf	counter	instructions_vs_parent_midpoint	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	8.063	percent	1.20-7.44	0.047	directional	child CV was 1.20-1.26 percent and parent endpoint CV was 5.56-7.44 percent; whole-process scope includes setup warmup verification and cleanup
whole_process_perf	counter	l1d_load_misses_vs_parent_midpoint	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	27.921	percent	na	-6.134	directional_only	child exceeded both parent endpoints but parent drift was high
whole_process_perf	counter	llc_load_misses	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	na	na	38.7-48.9	-13.771	inconclusive	do not infer a direction
whole_process_perf	internal_timing	child_vs_parent_midpoint	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	11.027	percent	0.206	-0.071	cross_check	internal timing while perf was active
register_prefill	identity	diagnostic_patch_sha256	prefill	63e60a1059df1dd569a46276ccce58740bdb1b94	363f914fb8ded99415232348b51820d9a0030a0dac72dd3a4e99035a33dd4c23	sha256	na	na	pass	direct child of 7029acd8 and only io_uring/rsrc.c changed
register_prefill	identity	formal_binary_sha256	matched	na	8c23628f679aebc05461ac65c70c0b00bea126f6f33e7c369deaf999562b7e32	sha256	na	na	pass	identical workload binary at all three timing points
register_prefill	identity	canonical_config_sha256	matched	na	c839b55296a9db9a49a5ace7012000476bdc050b34c134157e80f7123426e2d7	sha256	na	na	pass	10563 symbols compared with missing extra and changed all empty
register_prefill	identity	child_runtime_build_id	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	3868e9663bca56591ea60c9d764d1124fcf64e66	build_id	na	na	pass	matched at child A and child B
register_prefill	identity	prefill_runtime_build_id	prefill	63e60a1059df1dd569a46276ccce58740bdb1b94	b4c87e923e20f05088ac4bede388c6547a27a1fb	build_id	na	na	pass	matched installed diagnostic artifact
register_prefill	identity	child_a_boot_id	child	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	dbb23cfa-216e-44c6-a709-6b99c8b62638	boot_id	na	na	pass	distinct fresh boot
register_prefill	identity	prefill_boot_id	prefill	63e60a1059df1dd569a46276ccce58740bdb1b94	170add67-56fb-4fa5-99a0-133385be9117	boot_id	na	na	pass	distinct fresh boot
