point	round	elapsed_ns	ns_per_install	semantic_pass	cpu
parent-a	0	420905	102.760010	1	2
parent-a	1	418227	102.106201	1	2
parent-a	2	417161	101.845947	1	2
parent-a	3	418898	102.270020	1	2
parent-a	4	418519	102.177490	1	2
parent-a	5	417060	101.821289	1	2
parent-a	6	417471	101.921631	1	2
parent-a	7	418616	102.201172	1	2
parent-a	8	421378	102.875488	1	2
parent-a	9	419566	102.433105	1	2
parent-a	10	417477	101.923096	1	2
parent-a	11	417250	101.867676	1	2
parent-a	12	424535	103.646240	1	2
parent-a	13	421937	103.011963	1	2
parent-a	14	427144	104.283203	1	2
child	0	468911	114.480225	1	2
child	1	468732	114.436523	1	2
child	2	468426	114.361816	1	2
child	3	469101	114.526611	1	2
child	4	468341	114.341064	1	2
child	5	470571	114.885498	1	2
child	6	468252	114.319336	1	2
child	7	469071	114.519287	1	2
child	8	467862	114.224121	1	2
child	9	470742	114.927246	1	2
child	10	469562	114.639160	1	2
child	11	467151	114.050537	1	2
child	12	466521	113.896729	1	2
child	13	466931	113.996826	1	2
child	14	471075	115.008545	1	2
parent-b	0	422232	103.083984	1	2
parent-b	1	419004	102.295898	1	2
parent-b	2	419055	102.308350	1	2
parent-b	3	419421	102.397705	1	2
parent-b	4	420132	102.571289	1	2
parent-b	5	419971	102.531982	1	2
parent-b	6	419697	102.465088	1	2
parent-b	7	418302	102.124512	1	2
parent-b	8	419190	102.341309	1	2
parent-b	9	419416	102.396484	1	2
parent-b	10	422516	103.153320	1	2
parent-b	11	420850	102.746582	1	2
parent-b	12	421055	102.796631	1	2
parent-b	13	422784	103.218750	1	2
parent-b	14	418649	102.209229	1	2
