experiment	point	scenario	metric_ns	count	min_ns	p50_ns	p95_ns	p99_ns	max_ns	cv_percent
lifecycle-followup	unpatched-a	serial-4096-64	registration_ns	480	1375	1454	4629	5300	6168	58.403036
lifecycle-followup	unpatched-a	serial-4096-64	fill_ns	480	7696	8146	8816	9019	16287	6.825191
lifecycle-followup	unpatched-a	serial-4096-64	interval_ns	480	9146	9961	13032	13868	18324	13.169195
lifecycle-followup	unpatched-a	paced-4096-64	registration_ns	480	5109	5687	6743	7212	16958	14.136551
lifecycle-followup	unpatched-a	paced-4096-64	fill_ns	480	13390	14203	15091	26010	29752	11.884566
lifecycle-followup	unpatched-a	paced-4096-64	interval_ns	480	18760	19983	21778	32164	36195	9.520413
lifecycle-followup	unpatched-a	paced-4096-4096	registration_ns	480	5383	5793	6995	7951	18439	16.055821
lifecycle-followup	unpatched-a	paced-4096-4096	fill_ns	480	503626	514091	522005	524084	530172	1.250713
lifecycle-followup	unpatched-a	paced-4096-4096	interval_ns	480	509287	520875	528275	530168	535973	1.234729
lifecycle-followup	unpatched-a	paced-128-128	registration_ns	480	1622	2057	2456	2817	13202	25.901108
lifecycle-followup	unpatched-a	paced-128-128	fill_ns	480	21509	22548	23496	34253	35103	7.518898
lifecycle-followup	unpatched-a	paced-128-128	interval_ns	480	23474	24685	25729	36436	37195	7.206725
lifecycle-followup	unpatched-a	reuse-4096-4096	removal_ns	480	229730	232866	234999	235814	236345	0.596524
lifecycle-followup	unpatched-a	reuse-4096-4096	fill_ns	480	475998	479661	481685	482425	482873	0.267958
lifecycle-followup	unpatched-a	reuse-4096-4096	interval_ns	480	707540	712595	715247	716456	717228	0.242988
lifecycle-followup	unpatched-a	reuse-4096-64	removal_ns	480	2310	2481	2512	2597	5102	5.816640
lifecycle-followup	unpatched-a	reuse-4096-64	fill_ns	480	6821	6945	7088	8028	10001	2.841690
lifecycle-followup	unpatched-a	reuse-4096-64	interval_ns	480	9184	9432	9596	10676	12359	2.613041
lifecycle-followup	p12-a	serial-4096-64	registration_ns	480	1363	1452	4417	5252	5517	55.002633
lifecycle-followup	p12-a	serial-4096-64	fill_ns	480	7648	8252	8864	12188	304496	200.207504
lifecycle-followup	p12-a	serial-4096-64	interval_ns	480	9072	9845	12989	14240	305920	166.249555
lifecycle-followup	p12-a	paced-4096-64	registration_ns	480	3317	5629	6747	7280	17361	14.714328
lifecycle-followup	p12-a	paced-4096-64	fill_ns	480	10777	15030	15867	16861	29577	7.403953
lifecycle-followup	p12-a	paced-4096-64	interval_ns	480	14133	20753	22319	31687	35160	6.865942
lifecycle-followup	p12-a	paced-4096-4096	registration_ns	480	5213	5614	6580	15991	18510	20.482758
lifecycle-followup	p12-a	paced-4096-4096	fill_ns	480	502899	516420	523797	528158	530082	1.249499
lifecycle-followup	p12-a	paced-4096-4096	interval_ns	480	508738	522573	529534	534280	536528	1.244232
lifecycle-followup	p12-a	paced-128-128	registration_ns	480	1525	1849	2212	2639	3175	10.867648
lifecycle-followup	p12-a	paced-128-128	fill_ns	480	22035	23165	24023	34488	35196	6.686281
lifecycle-followup	p12-a	paced-128-128	interval_ns	480	23919	25059	26069	36465	37224	6.241391
lifecycle-followup	p12-a	reuse-4096-4096	removal_ns	480	233477	235343	237490	238412	242105	0.481275
lifecycle-followup	p12-a	reuse-4096-4096	fill_ns	480	469743	474485	477072	477773	480161	0.333968
lifecycle-followup	p12-a	reuse-4096-4096	interval_ns	480	704523	710041	712733	714676	717128	0.254430
lifecycle-followup	p12-a	reuse-4096-64	removal_ns	480	2305	2469	2491	2501	3622	3.408414
lifecycle-followup	p12-a	reuse-4096-64	fill_ns	480	6818	6936	7079	7136	8087	1.600660
lifecycle-followup	p12-a	reuse-4096-64	interval_ns	480	9173	9409	9562	10314	10603	1.477297
lifecycle-followup	p123-a	serial-4096-64	registration_ns	480	47950	57315	112976	156553	408872	42.151101
lifecycle-followup	p123-a	serial-4096-64	fill_ns	480	7064	7235	7677	11082	14443	10.362927
lifecycle-followup	p123-a	serial-4096-64	interval_ns	480	55086	64564	120937	167469	420742	38.509348
lifecycle-followup	p123-a	paced-4096-64	registration_ns	480	64676	68613	78243	87922	95416	6.497451
lifecycle-followup	p123-a	paced-4096-64	fill_ns	480	12092	12897	13894	25005	28638	11.454949
lifecycle-followup	p123-a	paced-4096-64	interval_ns	480	77334	81662	92555	102403	108583	6.024473
lifecycle-followup	p123-a	paced-4096-4096	registration_ns	480	65703	70850	78907	85933	90514	5.708495
lifecycle-followup	p123-a	paced-4096-4096	fill_ns	480	440463	452450	465419	466996	468787	1.359699
lifecycle-followup	p123-a	paced-4096-4096	interval_ns	480	512505	527682	539088	541466	543311	1.300709
lifecycle-followup	p123-a	paced-128-128	registration_ns	480	2914	4891	5406	5986	17292	16.802149
lifecycle-followup	p123-a	paced-128-128	fill_ns	480	16559	19943	20627	31885	34619	9.128670
lifecycle-followup	p123-a	paced-128-128	interval_ns	480	19498	24867	25915	37016	39433	8.040394
lifecycle-followup	p123-a	reuse-4096-4096	removal_ns	480	144216	144741	146459	147350	147425	0.482054
lifecycle-followup	p123-a	reuse-4096-4096	fill_ns	480	431455	434943	437249	438036	438693	0.328829
lifecycle-followup	p123-a	reuse-4096-4096	interval_ns	480	576245	580091	582467	583523	584507	0.258969
lifecycle-followup	p123-a	reuse-4096-64	removal_ns	480	2314	2484	2510	2588	2757	2.163637
lifecycle-followup	p123-a	reuse-4096-64	fill_ns	480	6805	6910	7029	7978	9168	2.495152
lifecycle-followup	p123-a	reuse-4096-64	interval_ns	480	9187	9402	9540	10483	11664	1.894782
lifecycle-followup	p123-b	serial-4096-64	registration_ns	480	49968	58226	84425	109625	121543	17.605523
lifecycle-followup	p123-b	serial-4096-64	fill_ns	480	7059	7221	7606	11661	22314	13.825884
lifecycle-followup	p123-b	serial-4096-64	interval_ns	480	57086	65487	91795	117093	133712	16.110280
lifecycle-followup	p123-b	paced-4096-64	registration_ns	480	66034	70791	81103	87745	90868	6.323817
lifecycle-followup	p123-b	paced-4096-64	fill_ns	480	12348	13072	13802	14764	25209	8.478948
lifecycle-followup	p123-b	paced-4096-64	interval_ns	480	79200	84008	96029	101422	104207	5.658154
lifecycle-followup	p123-b	paced-4096-4096	registration_ns	480	65818	71200	77984	85765	88420	5.581667
lifecycle-followup	p123-b	paced-4096-4096	fill_ns	480	438454	450283	463018	466295	468128	1.307291
lifecycle-followup	p123-b	paced-4096-4096	interval_ns	480	507136	525458	536775	538580	539240	1.285489
lifecycle-followup	p123-b	paced-128-128	registration_ns	480	3055	5034	5563	15772	20251	24.914593
lifecycle-followup	p123-b	paced-128-128	fill_ns	480	16704	19847	20798	31306	35188	8.615348
lifecycle-followup	p123-b	paced-128-128	interval_ns	480	19797	24904	26118	39469	40601	8.982197
lifecycle-followup	p123-b	reuse-4096-4096	removal_ns	480	144177	144613	146240	147096	148761	0.500319
lifecycle-followup	p123-b	reuse-4096-4096	fill_ns	480	428344	431615	433996	434449	435104	0.350166
lifecycle-followup	p123-b	reuse-4096-4096	interval_ns	480	573049	576680	579002	579773	580558	0.271220
lifecycle-followup	p123-b	reuse-4096-64	removal_ns	480	2327	2510	2536	2627	4366	5.108372
lifecycle-followup	p123-b	reuse-4096-64	fill_ns	480	6813	6973	7097	7209	10702	2.673647
lifecycle-followup	p123-b	reuse-4096-64	interval_ns	480	9213	9486	9630	9782	13065	2.313582
lifecycle-followup	p12-b	serial-4096-64	registration_ns	480	1373	1455	4593	5077	6298	57.586820
lifecycle-followup	p12-b	serial-4096-64	fill_ns	480	7584	8272	8854	11752	25384	11.909907
lifecycle-followup	p12-b	serial-4096-64	interval_ns	480	9026	9892	13105	14027	28231	15.299428
lifecycle-followup	p12-b	paced-4096-64	registration_ns	480	5313	5737	6765	16527	19539	21.588499
lifecycle-followup	p12-b	paced-4096-64	fill_ns	480	14352	15176	15968	25904	27609	8.080886
lifecycle-followup	p12-b	paced-4096-64	interval_ns	480	19890	21033	22457	33002	34552	8.463793
lifecycle-followup	p12-b	paced-4096-4096	registration_ns	480	5281	5645	6677	7054	17927	16.683316
lifecycle-followup	p12-b	paced-4096-4096	fill_ns	480	502020	516160	524133	527639	532253	1.239518
