experiment	point	scenario	round	replicates	registration_ns	removal_ns	fill_ns	interval_ns	first_fill_ns_per_install	semantic_pass
original-v3	unpatched-a	original-F0-4096	0	1	NA	NA	487968	487968	119.132812	1
original-v3	unpatched-a	original-F0-4096	1	1	NA	NA	487191	487191	118.943115	1
original-v3	unpatched-a	original-F0-4096	2	1	NA	NA	488025	488025	119.146729	1
original-v3	unpatched-a	original-F0-4096	3	1	NA	NA	485119	485119	118.437256	1
original-v3	unpatched-a	original-F0-4096	4	1	NA	NA	483667	483667	118.082764	1
original-v3	unpatched-a	original-F0-4096	5	1	NA	NA	486231	486231	118.708740	1
original-v3	unpatched-a	original-F0-4096	6	1	NA	NA	484259	484259	118.227295	1
original-v3	unpatched-a	original-F0-4096	7	1	NA	NA	487358	487358	118.983887	1
original-v3	unpatched-a	original-F0-4096	8	1	NA	NA	487055	487055	118.909912	1
original-v3	unpatched-a	original-F0-4096	9	1	NA	NA	485696	485696	118.578125	1
original-v3	unpatched-a	original-F0-4096	10	1	NA	NA	486900	486900	118.872070	1
original-v3	unpatched-a	original-F0-4096	11	1	NA	NA	485171	485171	118.449951	1
original-v3	unpatched-a	original-F0-4096	12	1	NA	NA	484768	484768	118.351562	1
original-v3	unpatched-a	original-F0-4096	13	1	NA	NA	486470	486470	118.767090	1
original-v3	unpatched-a	original-F0-4096	14	1	NA	NA	484840	484840	118.369141	1
original-v3	unpatched-a	4096/4096	0	32	1628.562500	NA	480784.500000	482429.156250	NA	1
original-v3	unpatched-a	4096/4096	1	32	1458.437500	NA	479681.343750	481156.000000	NA	1
original-v3	unpatched-a	4096/4096	2	32	1460.343750	NA	479885.062500	481360.625000	NA	1
original-v3	unpatched-a	4096/4096	3	32	1456.468750	NA	481142.750000	482614.687500	NA	1
original-v3	unpatched-a	4096/4096	4	32	1452.187500	NA	479696.906250	481164.562500	NA	1
original-v3	unpatched-a	4096/4096	5	32	1445.156250	NA	480694.593750	482155.187500	NA	1
original-v3	unpatched-a	4096/4096	6	32	1521.656250	NA	478822.687500	480360.093750	NA	1
original-v3	unpatched-a	4096/4096	7	32	1667.750000	NA	478708.656250	480392.500000	NA	1
original-v3	unpatched-a	4096/4096	8	32	1493.750000	NA	478542.750000	480052.187500	NA	1
original-v3	unpatched-a	4096/4096	9	32	1673.843750	NA	478557.968750	480247.281250	NA	1
original-v3	unpatched-a	4096/4096	10	32	1447.156250	NA	478930.375000	480393.031250	NA	1
original-v3	unpatched-a	4096/4096	11	32	1555.625000	NA	478588.750000	480159.718750	NA	1
original-v3	unpatched-a	4096/4096	12	32	1571.000000	NA	479000.875000	480588.937500	NA	1
original-v3	unpatched-a	4096/4096	13	32	1563.937500	NA	478408.656250	479988.593750	NA	1
