experiment	scenario	metric	unit	mean_U	mean_B	mean_C	C_vs_U_percent	C_vs_B_percent	max_cv_percent	max_abs_role_drift_percent	drop_first_C_vs_U_percent	drop_first_C_vs_B_percent	max_abs_drop_first_role_drift_percent	stability	failed_checks
original-v3	original-F0-4096	first_fill	ns/install	119.423332	118.151131	107.731120	-9.790559	-8.819223	1.920090	1.279751	-9.766132	-8.822317	1.292654	pass	none
original-v3	4096/4096	registration_ns	us/batch	1.508516	1.498896	50.908995	NA	NA	6.679879	4.713675	NA	NA	4.383454	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
original-v3	4096/4096	first_fill_ns	us/batch	478.183282	478.076669	434.270036	-9.183350	-9.163098	0.201479	0.631759	-9.155594	-9.142358	0.650805	pass	none
original-v3	4096/4096	register_plus_fill_ns	us/batch	479.707514	479.591243	485.197135	1.144369	1.168890	0.682573	0.480647	1.054651	1.071588	0.475121	pass	none
original-v3	4096/64	registration_ns	us/batch	1.987225	1.961488	63.189482	NA	NA	12.774460	8.331306	NA	NA	8.482514	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
original-v3	4096/64	first_fill_ns	us/batch	8.195761	8.487758	7.508853	NA	NA	28.553860	7.136262	NA	NA	7.457583	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
original-v3	4096/64	register_plus_fill_ns	us/batch	10.198791	10.465393	70.715978	NA	NA	22.084603	7.355383	NA	NA	7.645479	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
original-v3	128/128	registration_ns	us/batch	0.378770	0.388966	2.436348	NA	NA	14.454432	4.155456	NA	NA	4.646579	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
original-v3	128/128	first_fill_ns	us/batch	15.993550	16.062796	13.972685	NA	NA	5.850004	1.180774	NA	NA	1.235627	gate-fail	all_cv_below_3_percent
original-v3	128/128	register_plus_fill_ns	us/batch	16.388882	16.468099	16.424929	NA	NA	5.638540	1.244640	NA	NA	1.310164	gate-fail	all_cv_below_3_percent
lifecycle-followup	serial-4096-64	registration_ns	us/batch	2.078854	1.984693	64.637350	NA	NA	14.353521	7.287858	NA	NA	7.471711	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
lifecycle-followup	serial-4096-64	fill_ns	us/batch	8.258706	8.850493	7.407750	NA	NA	33.955688	12.547147	NA	NA	13.287878	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
lifecycle-followup	serial-4096-64	interval_ns	us/batch	10.353999	10.850966	72.062343	NA	NA	27.499846	9.186882	NA	NA	9.806403	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
lifecycle-followup	paced-4096-64	registration_ns	us/batch	5.954910	5.933397	71.217665	NA	NA	4.188592	2.847323	NA	NA	2.732397	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
lifecycle-followup	paced-4096-64	fill_ns	us/batch	14.379087	15.232074	13.163979	-8.450525	-13.577237	1.974389	1.464583	-8.495790	-13.652760	1.469721	pass	none
lifecycle-followup	paced-4096-64	interval_ns	us/batch	20.361378	21.193184	84.407223	NA	NA	1.719130	2.537496	NA	NA	2.470967	gate-fail	all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
lifecycle-followup	paced-4096-4096	registration_ns	us/batch	6.032491	5.875237	71.880644	1091.558317	1123.450860	2.941992	0.751312	1092.610408	1121.270762	0.371273	pass	none
lifecycle-followup	paced-4096-4096	fill_ns	us/batch	512.329322	514.761724	454.967119	-11.196354	-11.615977	0.424445	0.525846	-11.210098	-11.617587	0.572530	pass	none
lifecycle-followup	paced-4096-4096	interval_ns	us/batch	518.387367	520.662915	526.873308	1.636989	1.192786	0.330559	0.426204	1.623261	1.189713	0.461731	pass	none
lifecycle-followup	paced-128-128	registration_ns	us/batch	2.079550	1.947758	5.065869	NA	NA	3.695172	6.750796	NA	NA	6.806275	gate-fail	all_cv_below_3_percent;all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
lifecycle-followup	paced-128-128	fill_ns	us/batch	22.535993	23.492490	20.174156	NA	NA	1.391320	2.473853	NA	NA	2.598560	gate-fail	all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
lifecycle-followup	paced-128-128	interval_ns	us/batch	24.643104	25.469175	25.267860	NA	NA	1.452062	2.580210	NA	NA	2.709905	gate-fail	all_role_drift_below_2_percent;drop_first_role_drift_below_2_percent
lifecycle-followup	reuse-4096-4096	removal_ns	us/batch	233.062075	235.616809	145.040705	-37.767350	-38.442123	0.152905	0.190402	-37.763583	-38.442327	0.181217	pass	none
lifecycle-followup	reuse-4096-4096	fill_ns	us/batch	479.372209	474.750894	433.305027	-9.609898	-8.730024	0.158670	0.766144	-9.609703	-8.732059	0.769677	pass	none
lifecycle-followup	reuse-4096-4096	interval_ns	us/batch	712.450911	710.383999	578.365370	-18.820320	-18.584122	0.105395	0.595842	-18.818155	-18.584969	0.597016	pass	none
lifecycle-followup	reuse-4096-64	removal_ns	us/batch	2.472377	2.463206	2.485139	0.516161	0.890396	2.442035	1.160300	0.533558	0.909956	1.201487	pass	none
lifecycle-followup	reuse-4096-64	fill_ns	us/batch	6.971232	6.934191	6.961397	-0.141086	0.392349	0.530855	0.761687	-0.129808	0.383038	0.825335	pass	none
lifecycle-followup	reuse-4096-64	interval_ns	us/batch	9.459870	9.413269	9.462847	0.031471	0.526683	0.607453	0.863189	0.044860	0.526244	0.921028	pass	none
