experiment	case	metric	point	sample	operations	warmups	mean_ns
original	continuous	create_ns	A1	1	128	16	22349.0546875
original	continuous	create_ns	A1	2	128	16	19425.9375
original	continuous	create_ns	A1	3	128	16	20231.5234375
original	continuous	create_ns	A1	4	128	16	19898.703125
original	continuous	create_ns	A1	5	128	16	19782.703125
original	continuous	create_ns	A1	6	128	16	19756.546875
original	continuous	create_ns	A1	7	128	16	20012.0234375
original	continuous	create_ns	A1	8	128	16	19826.2265625
original	continuous	create_ns	A1	9	128	16	19935.3203125
original	continuous	create_ns	B1	1	128	16	22091.046875
original	continuous	create_ns	B1	2	128	16	20957.2265625
original	continuous	create_ns	B1	3	128	16	18722.671875
original	continuous	create_ns	B1	4	128	16	19042.53125
original	continuous	create_ns	B1	5	128	16	18921.4453125
original	continuous	create_ns	B1	6	128	16	18979.59375
original	continuous	create_ns	B1	7	128	16	18278.9375
original	continuous	create_ns	B1	8	128	16	18292.6640625
original	continuous	create_ns	B1	9	128	16	18211.8046875
original	continuous	create_ns	B2	1	128	16	23026.140625
original	continuous	create_ns	B2	2	128	16	20739.2109375
original	continuous	create_ns	B2	3	128	16	18319.9453125
original	continuous	create_ns	B2	4	128	16	18864.71875
original	continuous	create_ns	B2	5	128	16	18819.3828125
original	continuous	create_ns	B2	6	128	16	18207.171875
original	continuous	create_ns	B2	7	128	16	18439.65625
original	continuous	create_ns	B2	8	128	16	18310.203125
original	continuous	create_ns	B2	9	128	16	18322.1875
original	continuous	create_ns	A2	1	128	16	23285.5234375
original	continuous	create_ns	A2	2	128	16	21672.0859375
original	continuous	create_ns	A2	3	128	16	18832.5859375
original	continuous	create_ns	A2	4	128	16	18974.1953125
original	continuous	create_ns	A2	5	128	16	18532.8203125
original	continuous	create_ns	A2	6	128	16	19038.15625
original	continuous	create_ns	A2	7	128	16	18983.2109375
original	continuous	create_ns	A2	8	128	16	18355.1640625
original	continuous	create_ns	A2	9	128	16	18349.5859375
original	continuous	remove_ns	A1	1	128	16	9677.8203125
original	continuous	remove_ns	A1	2	128	16	9726.9765625
original	continuous	remove_ns	A1	3	128	16	9734.71875
original	continuous	remove_ns	A1	4	128	16	9764.453125
original	continuous	remove_ns	A1	5	128	16	9754.5
original	continuous	remove_ns	A1	6	128	16	9670.4609375
original	continuous	remove_ns	A1	7	128	16	9809.4453125
original	continuous	remove_ns	A1	8	128	16	9721.328125
original	continuous	remove_ns	A1	9	128	16	9707.7421875
original	continuous	remove_ns	B1	1	128	16	7681.890625
original	continuous	remove_ns	B1	2	128	16	7618.390625
original	continuous	remove_ns	B1	3	128	16	7607.9765625
