case	point	sample	warmups	pace_ms	operations	between_stage_ns	cycle_ns	first4_cycle_ns	first4_mkdir_ns	first4_rmdir_ns	first4_stat_ns	first_cycle_ns	first_mkdir_ns	first_rmdir_ns	first_stat_ns	mkdir_ns	rmdir_ns	stat_ns	tail_cycle_ns	tail_mkdir_ns	tail_rmdir_ns	tail_stat_ns	workload_wall_per_cycle_ns
w0-p0	A1	1	0	0	32	34.875	35448.34375	35815.25	21949	12100	1726.75	45291	26830	16603	1801	23285.4375	10200.15625	1927.875	35395.92857142857	23476.35714285714	9928.75	1956.607142857143	40039.90625
w0-p0	A1	2	0	0	32	35.3125	30463.53125	33597.5	19764.5	11942.75	1845.75	38658	20774	15896	1914	18455.6875	10206.59375	1765.9375	30015.821428571428	18268.714285714286	9958.57142857143	1754.5357142857142	35012.59375
w0-p0	A1	3	0	0	32	37.25	30722.0625	33801	20034.75	11932	1792.75	39471	21476	16081	1859	18711.53125	10051.40625	1921.875	30282.214285714286	18522.5	9782.75	1940.3214285714287	35143.875
w0-p0	A1	4	0	0	32	34.5	30533.96875	33893.75	20045.5	11853.75	1954.75	39881	21949	15818	2068	18697.1875	9987.21875	1815.0625	30054	18504.571428571428	9720.57142857143	1795.107142857143	34862.03125
w0-p0	A1	5	0	0	32	34.84375	31268.59375	36602.5	22515	12102.75	1945.5	41004	22284	16567	2103	19394.34375	10006.5	1832.90625	30506.60714285714	18948.535714285714	9707.035714285714	1816.8214285714287	35607.65625
w0-p0	A1	6	0	0	32	34.5	30345.21875	34069	20189.25	11987.75	1851.25	41189	22585	16707	1847	18405.9375	10124.875	1779.90625	29813.25	18151.178571428572	9858.75	1769.7142857142858	34860.96875
w0-p0	A1	7	0	0	32	36.71875	31368.71875	36149.25	20692.25	13512.25	1904.5	45830	20908	22930	1934	19285.15625	10197.53125	1849.3125	30685.785714285714	19084.14285714286	9724	1841.4285714285713	35747.28125
w0-p0	A1	8	0	0	32	34.25	31165.03125	34165.5	20211.25	11942.25	1971	39901	21273	16227	2352	19121	10156.90625	1852.875	30736.39285714286	18965.25	9901.857142857143	1836	35520.0625
w0-p0	A1	9	0	0	32	35.5	30732.6875	34141.5	20214.25	12059.5	1828	41247	23078	16209	1903	18834.59375	10069.90625	1792.6875	30245.714285714286	18637.5	9785.67857142857	1787.642857142857	35110.3125
w0-p0	B1	1	0	0	32	34.3125	30131.9375	31393.5	19714.25	9802.5	1840.25	39480	23358	14231	1843	20414.65625	7851.96875	1831	29951.714285714286	20514.714285714286	7573.321428571428	1829.6785714285713	34720.9375
w0-p0	B1	2	0	0	32	34.71875	28109.21875	32295.75	20861.25	9591.5	1805	43752	28013	13781	1910	18504.90625	7812.9375	1756.65625	27511.14285714286	18168.285714285714	7558.857142857143	1749.75	32408.65625
w0-p0	B1	3	0	0	32	35.78125	28208.3125	31368	19957.5	9571.25	1798.5	36389	20521	13942	1865	18584.53125	7825.625	1762.375	27756.928571428572	18388.39285714286	7576.25	1757.2142857142858	32534.625
w0-p0	B1	4	0	0	32	34.34375	27958.6875	30119.75	18593.25	9770	1717	33793	18038	13932	1769	18285.0625	7863.59375	1775.6875	27649.964285714286	18241.035714285714	7591.25	1784.0714285714287	32290.0
w0-p0	B1	5	0	0	32	33.96875	28540.59375	30613.25	19143.75	9550.25	1881	35366	19469	13808	2041	18591.875	8063.71875	1851.03125	28244.5	18513.035714285714	7851.357142857143	1846.75	32924.6875
w0-p0	B1	6	0	0	32	34.25	27752.53125	31296.75	19742	9698	1815.25	34200	18266	13961	1911	18060.96875	7865	1792.3125	27246.214285714286	17820.821428571428	7603.142857142857	1789.0357142857142	32170.625
w0-p0	B1	7	0	0	32	34.625	28401.78125	30265	18761.5	9552.25	1910	34816	19181	13785	1789	18692.03125	7798.6875	1876.4375	28135.60714285714	18682.10714285714	7548.178571428572	1871.642857142857	33009.28125
w0-p0	B1	8	0	0	32	34	28531.3125	32660.25	21143.75	9555.25	1924	39994	24371	13723	1856	18790.875	7868.40625	1838.03125	27941.464285714286	18454.75	7627.428571428572	1825.75	32949.5
w0-p0	B1	9	0	0	32	38	28059.8125	33373.25	21024.25	9780.75	2528.25	37822	22081	13685	2009	18239.125	7840.40625	1942.28125	27300.75	17841.25	7563.214285714285	1858.5714285714287	32470.8125
w0-p0	B2	1	0	0	32	34.34375	30248.96875	32860.25	21382.75	9496.5	1938.25	39433	23791	13771	1814	20458.5625	7922.1875	1833.875	29875.928571428572	20326.535714285714	7697.285714285715	1818.9642857142858	34687.1875
w0-p0	B2	2	0	0	32	36.09375	27978.125	30244.75	18707.25	9611	1886.25	36342	20614	13836	1836	18291.0625	7806.78125	1844.1875	27654.321428571428	18231.60714285714	7549.035714285715	1838.1785714285713	32513.1875
w0-p0	B2	3	0	0	32	34.375	28515.34375	31387.5	19829	9599	1918.5	37009	21724	13360	1867	18790.21875	7826.25	1864.5	28105.035714285714	18641.821428571428	7573	1856.7857142857142	33269.125
w0-p0	B2	4	0	0	32	38.0625	28301.875	30891.5	19183.25	9695	1972.75	37579	21276	14191	2055	18479.15625	7819.5	1965.15625	27931.928571428572	18378.571428571428	7551.571428571428	1964.0714285714287	32719.90625
w0-p0	B2	5	0	0	32	35.8125	28582.375	31672	20053	9589	1992	38014	22238	13743	1987	18939.375	7783.1875	1824	28141	18780.285714285714	7525.214285714285	1800	32996.6875
w0-p0	B2	6	0	0	32	34.15625	28212.75	30734	19263.75	9538.5	1890.5	37280	21518	13845	1856	18322.28125	7934.3125	1922	27852.571428571428	18187.785714285714	7705.142857142857	1926.5	32569.71875
w0-p0	B2	7	0	0	32	35.03125	28018.71875	30858	19375	9598.25	1843.5	36742	21060	13717	1903	18378.375	7798	1807.3125	27613.10714285714	18236	7540.821428571428	1802.142857142857	32414.96875
