metric	point	sample	operations	warmups	mean_ns
original.mkdir_ns	A1	1	128	16	22078.7578125
original.mkdir_ns	A1	2	128	16	20056.796875
original.mkdir_ns	A1	3	128	16	18265.6640625
original.mkdir_ns	A1	4	128	16	18814.9765625
original.mkdir_ns	A1	5	128	16	18294.625
original.mkdir_ns	A1	6	128	16	18360.140625
original.mkdir_ns	A1	7	128	16	18290.0546875
original.mkdir_ns	A1	8	128	16	18498.5234375
original.mkdir_ns	A1	9	128	16	18399.1328125
original.mkdir_ns	B1	1	128	16	23008.4609375
original.mkdir_ns	B1	2	128	16	20152.0390625
original.mkdir_ns	B1	3	128	16	18431.921875
original.mkdir_ns	B1	4	128	16	18982.9453125
original.mkdir_ns	B1	5	128	16	18548.5703125
original.mkdir_ns	B1	6	128	16	19071.6953125
original.mkdir_ns	B1	7	128	16	19143.1640625
original.mkdir_ns	B1	8	128	16	18323.9453125
original.mkdir_ns	B1	9	128	16	18393.3515625
original.mkdir_ns	B2	1	128	16	22822.1328125
original.mkdir_ns	B2	2	128	16	20965.546875
original.mkdir_ns	B2	3	128	16	18902.4765625
original.mkdir_ns	B2	4	128	16	18983.7265625
original.mkdir_ns	B2	5	128	16	18615.0234375
original.mkdir_ns	B2	6	128	16	18190.46875
original.mkdir_ns	B2	7	128	16	19047.609375
original.mkdir_ns	B2	8	128	16	18998.65625
original.mkdir_ns	B2	9	128	16	18432.0703125
original.mkdir_ns	A2	1	128	16	22719.5859375
original.mkdir_ns	A2	2	128	16	20137.8984375
original.mkdir_ns	A2	3	128	16	18702.1171875
original.mkdir_ns	A2	4	128	16	18860.8828125
original.mkdir_ns	A2	5	128	16	18811.875
original.mkdir_ns	A2	6	128	16	18165.9921875
original.mkdir_ns	A2	7	128	16	18115.9140625
original.mkdir_ns	A2	8	128	16	18209.2578125
original.mkdir_ns	A2	9	128	16	18299.421875
original.rmdir_ns	A1	1	128	16	9809.9140625
original.rmdir_ns	A1	2	128	16	9871.1640625
original.rmdir_ns	A1	3	128	16	9697.1953125
original.rmdir_ns	A1	4	128	16	9808.53125
original.rmdir_ns	A1	5	128	16	9731.203125
original.rmdir_ns	A1	6	128	16	9915
original.rmdir_ns	A1	7	128	16	9758.0859375
original.rmdir_ns	A1	8	128	16	9733.265625
original.rmdir_ns	A1	9	128	16	9708.984375
original.rmdir_ns	B1	1	128	16	7607.859375
original.rmdir_ns	B1	2	128	16	7896.4296875
original.rmdir_ns	B1	3	128	16	7529.5
original.rmdir_ns	B1	4	128	16	7513.9375
original.rmdir_ns	B1	5	128	16	7527.3203125
original.rmdir_ns	B1	6	128	16	7558.7109375
original.rmdir_ns	B1	7	128	16	7541.0546875
original.rmdir_ns	B1	8	128	16	7527.0234375
original.rmdir_ns	B1	9	128	16	7556.6796875
original.rmdir_ns	B2	1	128	16	7582.671875
original.rmdir_ns	B2	2	128	16	7548.84375
original.rmdir_ns	B2	3	128	16	7554.8984375
original.rmdir_ns	B2	4	128	16	7583.7265625
original.rmdir_ns	B2	5	128	16	7562.8046875
original.rmdir_ns	B2	6	128	16	7581.5703125
original.rmdir_ns	B2	7	128	16	7547.9765625
original.rmdir_ns	B2	8	128	16	7564.2578125
original.rmdir_ns	B2	9	128	16	7553.421875
