experiment	point	arm	sample	operations	warmups	create_mean_ns	remove_mean_ns
exact-r1	base-A	original-cb0	1	128	16	21399.421875	7080.6875
exact-r1	base-A	original-cb0	2	128	16	21093.921875	6558.140625
exact-r1	base-A	original-cb0	3	128	16	21287.4609375	6567.90625
exact-r1	base-A	original-cb0	4	128	16	21246.6640625	6560.8359375
exact-r1	base-A	original-cb0	5	128	16	21245.7734375	6496.25
exact-r1	base-A	original-cb0	6	128	16	21373.7890625	6554.859375
exact-r1	base-A	original-cb0	7	128	16	21357.2890625	6623.7890625
exact-r1	base-A	original-cb0	8	128	16	21432.9453125	6500.578125
exact-r1	base-A	original-cb0	9	128	16	21095.1875	6505.4375
exact-r1	base-A	original-cb1	1	128	16	20957.3984375	6528.5078125
exact-r1	base-A	original-cb1	2	128	16	21396.1875	6573.453125
exact-r1	base-A	original-cb1	3	128	16	21182.484375	6540.15625
exact-r1	base-A	original-cb1	4	128	16	21238.8828125	6524.109375
exact-r1	base-A	original-cb1	5	128	16	21389.6328125	6530.78125
exact-r1	base-A	original-cb1	6	128	16	21561.28125	6546.765625
exact-r1	base-A	original-cb1	7	128	16	21374.703125	6504.921875
exact-r1	base-A	original-cb1	8	128	16	21273.5234375	6531.828125
exact-r1	base-A	original-cb1	9	128	16	21196.2421875	6531.40625
exact-r1	base-A	control-scx	1	128	16	21153.4609375	6551.7265625
exact-r1	base-A	control-scx	2	128	16	21087.6484375	6542.7265625
exact-r1	base-A	control-scx	3	128	16	21158.1015625	6504.5703125
exact-r1	base-A	control-scx	4	128	16	21226.5546875	6513.8515625
exact-r1	base-A	control-scx	5	128	16	21200.3984375	6508.84375
exact-r1	base-A	control-scx	6	128	16	21060.96875	6562.3359375
exact-r1	base-A	control-scx	7	128	16	21163.109375	6491.2421875
exact-r1	base-A	control-scx	8	128	16	21054.4375	6565.0546875
exact-r1	base-A	control-scx	9	128	16	21114.015625	6528.3203125
exact-r1	base-A	control-disabled	1	128	16	20980.7109375	6491.609375
exact-r1	base-A	control-disabled	2	128	16	21429.6015625	6480.9296875
exact-r1	base-A	control-disabled	3	128	16	20902.296875	6528.8515625
exact-r1	base-A	control-disabled	4	128	16	21029.40625	6496.7578125
exact-r1	base-A	control-disabled	5	128	16	21038.40625	6497.515625
exact-r1	base-A	control-disabled	6	128	16	21262.8515625	6493.078125
exact-r1	base-A	control-disabled	7	128	16	21132.46875	6530.2265625
