condition	window	ilookup	nodes	remove_by_name	remove_to_down_write	remove_to_ilookup	wrapper_read_locks
base/control-disabled	1	0	26	25	26	0	0
base/control-disabled	2	0	26	25	26	0	0
base/control-disabled	3	0	26	25	26	0	0
base/control-disabled	4	0	26	25	26	0	0
base/control-scx	1	0	26	25	26	0	0
base/control-scx	2	0	26	25	26	0	0
base/control-scx	3	0	26	25	26	0	0
base/control-scx	4	0	26	25	26	0	0
base/original-cb0	1	0	26	25	26	0	0
base/original-cb0	2	0	26	25	26	0	0
base/original-cb0	3	0	26	25	26	0	0
base/original-cb0	4	0	26	25	26	0	0
base/original-cb1	1	0	26	25	26	0	0
base/original-cb1	2	0	26	25	26	0	0
base/original-cb1	3	0	26	25	26	0	0
base/original-cb1	4	0	26	25	26	0	0
guard/control-disabled	1	0	26	25	52	0	0
guard/control-disabled	2	0	26	25	52	0	0
guard/control-disabled	3	0	26	25	52	0	0
guard/control-disabled	4	0	26	25	52	0	0
guard/control-scx	1	0	26	25	52	0	0
guard/control-scx	2	0	26	25	52	0	0
guard/control-scx	3	0	26	25	52	0	0
guard/control-scx	4	0	26	25	52	0	0
guard/original-cb0	1	0	26	25	52	0	0
guard/original-cb0	2	0	26	25	52	0	0
guard/original-cb0	3	0	26	25	52	0	0
guard/original-cb0	4	0	26	25	52	0	0
guard/original-cb1	1	0	26	25	52	0	0
guard/original-cb1	2	0	26	25	52	0	0
guard/original-cb1	3	0	26	25	52	0	0
guard/original-cb1	4	0	26	25	52	0	0
notify/control-disabled	1	26	26	25	52	26	26
notify/control-disabled	2	26	26	25	52	26	26
notify/control-disabled	3	26	26	25	52	26	26
notify/control-disabled	4	26	26	25	52	26	26
notify/control-scx	1	26	26	25	52	26	26
notify/control-scx	2	26	26	25	52	26	26
notify/control-scx	3	26	26	25	52	26	26
notify/control-scx	4	26	26	25	52	26	26
notify/original-cb0	1	26	26	25	52	26	26
notify/original-cb0	2	26	26	25	52	26	26
notify/original-cb0	3	26	26	25	52	26	26
notify/original-cb0	4	26	26	25	52	26	26
notify/original-cb1	1	26	26	25	52	26	26
notify/original-cb1	2	26	26	25	52	26	26
notify/original-cb1	3	26	26	25	52	26	26
notify/original-cb1	4	26	26	25	52	26	26
