experiment	point	arm	metric	median_ns	cv_percent	drop_first_median_ns
exact-r1	base-A	original-cb0	create_ns	21287.4609375	0.5505003835948346	21267.0625
exact-r1	base-A	original-cb0	remove_ns	6558.140625	2.6090828524711474	6556.5
exact-r1	base-A	original-cb1	create_ns	21273.5234375	0.7602047540449082	21324.11328125
exact-r1	base-A	original-cb1	remove_ns	6531.40625	0.26744227739500037	6531.6171875
exact-r1	base-A	control-scx	create_ns	21153.4609375	0.2684637388987175	21136.05859375
exact-r1	base-A	control-scx	remove_ns	6528.3203125	0.38770225579390033	6521.0859375
exact-r1	base-A	control-disabled	create_ns	21091.078125	0.7077849755736919	21111.7734375
exact-r1	base-A	control-disabled	remove_ns	6496.7578125	0.24371617503769752	6497.13671875
exact-r1	guard-A	original-cb0	create_ns	21468.2734375	1.3404845863260135	21413.76171875
exact-r1	guard-A	original-cb0	remove_ns	6944.890625	0.29789465957689387	6943.125
exact-r1	guard-A	original-cb1	create_ns	21273.3125	0.5908576009694416	21281.24609375
exact-r1	guard-A	original-cb1	remove_ns	6947.4140625	0.32780983244639683	6948.4140625
exact-r1	guard-A	control-scx	create_ns	21274.0703125	0.6492657993512067	21288.67578125
exact-r1	guard-A	control-scx	remove_ns	6937.1484375	0.4730631839630163	6935.3984375
exact-r1	guard-A	control-disabled	create_ns	21112.4609375	0.49785440764045585	21096.5859375
exact-r1	guard-A	control-disabled	remove_ns	6905.5546875	0.7982039932514418	6898.4921875
exact-r1	notify-A	original-cb0	create_ns	21132.3515625	1.5124236366151762	21121.49609375
exact-r1	notify-A	original-cb0	remove_ns	9575.0546875	0.5232707015880651	9568.828125
exact-r1	notify-A	original-cb1	create_ns	21179.4375	0.4980335998134172	21186.56640625
exact-r1	notify-A	original-cb1	remove_ns	9585.6015625	0.6671000165567306	9593.71484375
exact-r1	notify-A	control-scx	create_ns	21036.6015625	0.4570287414714997	21058.3828125
exact-r1	notify-A	control-scx	remove_ns	9569.421875	0.6795349845932719	9564.76953125
