round	protect_ns_per_page	restore_ns_per_page	post_touch_ns_per_page	iteration_ns_per_page	expected_match_ratio	unexpected_results	kernel_page_kb	mmu_page_kb	anon_huge_kb
1	20	20	11	52	100	0	4	4	0
2	20	20	11	52	100	0	4	4	0
3	20	20	11	53	100	0	4	4	0
4	20	20	12	53	100	0	4	4	0
5	20	20	11	53	100	0	4	4	0
6	20	20	11	52	100	0	4	4	0
7	20	20	12	53	100	0	4	4	0
8	20	20	12	54	100	0	4	4	0
9	20	20	12	53	100	0	4	4	0
10	20	20	12	53	100	0	4	4	0
11	20	20	11	53	100	0	4	4	0
12	20	20	12	53	100	0	4	4	0
13	20	20	12	53	100	0	4	4	0
14	20	20	12	53	100	0	4	4	0
15	20	20	12	54	100	0	4	4	0
