round	protect_ns_per_page	restore_ns_per_page	post_touch_ns_per_page	iteration_ns_per_page	expected_match_ratio	unexpected_results	kernel_page_kb	mmu_page_kb	anon_huge_kb
1	14	14	11	40	100	0	4	4	0
2	14	14	11	40	100	0	4	4	0
3	14	14	12	42	100	0	4	4	0
4	14	14	12	41	100	0	4	4	0
5	14	14	11	40	100	0	4	4	0
6	14	14	12	41	100	0	4	4	0
7	14	14	11	40	100	0	4	4	0
8	14	14	12	41	100	0	4	4	0
9	14	14	12	41	100	0	4	4	0
10	14	14	11	41	100	0	4	4	0
11	14	14	11	40	100	0	4	4	0
12	14	14	11	41	100	0	4	4	0
13	14	14	11	40	100	0	4	4	0
14	14	14	12	41	100	0	4	4	0
15	14	14	11	40	100	0	4	4	0
