round	protect_ns_per_page	restore_ns_per_page	post_touch_ns_per_page	iteration_ns_per_page	expected_match_ratio	unexpected_results	kernel_page_kb	mmu_page_kb	anon_huge_kb
1	13	13	11	37	100	0	4	4	0
2	13	13	12	39	100	0	4	4	0
3	13	13	12	39	100	0	4	4	0
4	13	13	12	39	100	0	4	4	0
5	13	13	12	39	100	0	4	4	0
6	13	13	12	39	100	0	4	4	0
7	13	13	12	39	100	0	4	4	0
8	13	13	12	39	100	0	4	4	0
9	13	13	12	39	100	0	4	4	0
10	13	13	12	39	100	0	4	4	0
11	13	13	12	39	100	0	4	4	0
12	13	13	12	39	100	0	4	4	0
13	13	13	12	39	100	0	4	4	0
14	13	13	12	39	100	0	4	4	0
15	13	13	12	39	100	0	4	4	0
