round	protect_ns_per_page	restore_ns_per_page	post_touch_ns_per_page	iteration_ns_per_page	expected_match_ratio	unexpected_results	kernel_page_kb	mmu_page_kb	anon_huge_kb
1	21	21	11	54	100	0	4	4	0
2	21	21	12	55	100	0	4	4	0
3	21	21	11	55	100	0	4	4	0
4	21	21	12	55	100	0	4	4	0
5	21	21	12	56	100	0	4	4	0
6	21	21	12	56	100	0	4	4	0
7	21	21	11	55	100	0	4	4	0
8	21	21	12	56	100	0	4	4	0
9	21	21	11	55	100	0	4	4	0
10	21	21	11	55	100	0	4	4	0
11	21	21	12	56	100	0	4	4	0
12	21	21	11	55	100	0	4	4	0
13	21	21	12	56	100	0	4	4	0
14	21	21	11	55	100	0	4	4	0
15	21	21	12	56	100	0	4	4	0
