round	protect_ns_per_page	restore_ns_per_page	post_touch_ns_per_page	iteration_ns_per_page	expected_match_ratio	unexpected_results	kernel_page_kb	mmu_page_kb	anon_huge_kb
1	23	23	11	57	100	0	4	4	0
2	23	23	11	58	100	0	4	4	0
3	23	23	12	58	100	0	4	4	0
4	23	23	12	59	100	0	4	4	0
5	23	23	11	58	100	0	4	4	0
6	23	23	12	58	100	0	4	4	0
7	23	23	12	58	100	0	4	4	0
8	23	23	11	58	100	0	4	4	0
9	23	23	11	58	100	0	4	4	0
10	23	23	12	59	100	0	4	4	0
11	23	23	12	59	100	0	4	4	0
12	23	23	11	58	100	0	4	4	0
13	23	23	12	58	100	0	4	4	0
14	23	23	12	59	100	0	4	4	0
15	23	23	11	58	100	0	4	4	0
