key	value
audit_date_utc	2026-07-22
latest_public_revision	v3
later_revision_found	no
v3_cover_url	https://lore.kernel.org/all/20260402141628.3367596-1-pfalcato@suse.de/
series_base_commit	19999e479c2a38672789e66b4830f43c645ca1f2
series_patch1_commit	3bc181c1436373e42220baaa0d8c9b45fa18afe1
series_patch1_parent	19999e479c2a38672789e66b4830f43c645ca1f2
series_patch2_commit	89e613bc0b2d6d4a18a09b161131ce4ca5c70f2a
series_patch2_parent	3bc181c1436373e42220baaa0d8c9b45fa18afe1
mainline_merge_commit	40735a683bf844a453d7a0f91e5e3daa0abc659b
first_mainline_rc_containing_merge	v7.1-rc1
v7.1.3_contains_merge	yes
torvalds_origin_master	248951ddc14de84de3910f9b13f51491a8cd91df
latest_mm_mprotect_commit_on_origin_master	89e613bc0b2d6d4a18a09b161131ce4ca5c70f2a
later_merged_mm_mprotect_implementation_update	no
