round	protect_ns_per_page	restore_ns_per_page	post_touch_ns_per_page	iteration_ns_per_page	expected_match_ratio	unexpected_results	kernel_page_kb	mmu_page_kb	anon_huge_kb
1	22	22	11	56	100	0	4	4	0
2	22	22	12	57	100	0	4	4	0
3	22	22	11	56	100	0	4	4	0
4	22	22	12	57	100	0	4	4	0
5	22	22	12	57	100	0	4	4	0
6	22	22	11	57	100	0	4	4	0
7	22	22	12	57	100	0	4	4	0
8	22	22	12	57	100	0	4	4	0
9	22	22	12	58	100	0	4	4	0
10	22	22	12	57	100	0	4	4	0
11	22	22	12	57	100	0	4	4	0
12	22	22	12	57	100	0	4	4	0
13	22	22	12	57	100	0	4	4	0
14	22	22	12	57	100	0	4	4	0
15	22	22	11	57	100	0	4	4	0
