round	protect_ns_per_page	restore_ns_per_page	post_touch_ns_per_page	iteration_ns_per_page	expected_match_ratio	unexpected_results	kernel_page_kb	mmu_page_kb	anon_huge_kb
1	18	17	10	46	100	0	4	4	0
2	17	17	12	48	100	0	4	4	0
3	18	17	11	47	100	0	4	4	0
4	18	17	11	47	100	0	4	4	0
5	17	17	11	47	100	0	4	4	0
6	18	17	11	47	100	0	4	4	0
7	17	17	11	47	100	0	4	4	0
8	17	17	11	47	100	0	4	4	0
9	18	17	11	47	100	0	4	4	0
10	18	17	12	48	100	0	4	4	0
11	18	17	12	48	100	0	4	4	0
12	17	17	11	47	100	0	4	4	0
13	18	17	11	47	100	0	4	4	0
14	18	17	11	47	100	0	4	4	0
15	18	17	11	47	100	0	4	4	0
