experiment	point	kernel_release	boot_id	measured_processes	semantic_failures	failed_units
exact-cac1	parent-a	6.16.0-rc5-mprotect-cac-p-45199f715b74	c18e9921-e470-4a7d-959b-b5c09b28c192	15	0	0
exact-cac1	child	6.16.0-rc5-mprotect-cac-c-cac1db8c3aad	56a24dd9-509b-49a4-9579-6c590fe99be9	15	0	0
exact-cac1	parent-b	6.16.0-rc5-mprotect-cac-p-45199f715b74	2c0e742f-ef0a-409f-a5f9-d3e2c4af9ff6	15	0	0
mechanism	parent-a	6.16.0-rc5-mprotect-cac-p-45199f715b74	8dbc304d-8659-4df4-b5a7-fbb58d9579da	15	0	0
mechanism	child-a	6.16.0-rc5-mprotect-cac-c-cac1db8c3aad	8e79cfce-3853-430c-8106-c79203e5ff89	15	0	0
mechanism	fastpath-a	6.16.0-rc5-mprotect-cac-v-ptefastpath0	82693702-ebe4-49b1-8581-165ce39c31f1	15	0	0
mechanism	folioonly-a	6.16.0-rc5-mprotect-cac-v-folioonly000	b42c4ebd-3944-4aae-9118-c8eba974e4b1	15	0	0
mechanism	nofolio	6.16.0-rc5-mprotect-cac-v-nofolio00000	a4b57604-e87a-422b-8eaf-8fdee5020c05	15	0	0
mechanism	folioonly-b	6.16.0-rc5-mprotect-cac-v-folioonly000	03411f3c-b654-41c0-a58d-40d54501e479	15	0	0
mechanism	fastpath-b	6.16.0-rc5-mprotect-cac-v-ptefastpath0	864ce613-f37b-4d6e-abba-5db7c2ca131c	15	0	0
mechanism	child-b	6.16.0-rc5-mprotect-cac-c-cac1db8c3aad	59a8aa8a-d418-4693-9aac-08495045ae73	15	0	0
mechanism	parent-b	6.16.0-rc5-mprotect-cac-p-45199f715b74	e4508428-3b5e-4508-aabd-c350546c0909	15	0	0
pedro-v3	no-v3-a	7.1.3-mprotect-pv3-base-19999e479c2a	6ee21436-2071-4e8e-b320-7d23640e685d	15	0	0
pedro-v3	full-v3	7.1.3-mprotect-pv3-full-89e613bc0b2d	ab54a7af-4c83-4507-a469-78dea1caab45	15	0	0
pedro-v3	no-v3-b	7.1.3-mprotect-pv3-base-19999e479c2a	64dc6167-c25d-4e94-b38b-d53fef2c1e78	15	0	0
lookup-base	baseline-a	7.1.3-mprotect-pv3-full-89e613bc0b2d	e40481dd-2b09-47ac-ba38-78bbf3bbbb75	15	0	0
lookup-base	candidate	7.1.3-mprotect-hint-one-000000000000	3a7f3312-a3f9-420c-b549-bcedab4e9603	15	0	0
lookup-base	baseline-b	7.1.3-mprotect-pv3-full-89e613bc0b2d	9ff89381-f91f-4c6a-aa83-c5ca7c1d0a2d	15	0	0
lookup-large	baseline-a	7.1.3-mprotect-pv3-full-89e613bc0b2d	abe8d2fa-bf9b-47c5-aad3-58b46d678d06	15	0	0
lookup-large	candidate	7.1.3-mprotect-hint-one-000000000000	1c274d14-b68e-4f0b-905b-06a4a5afd580	15	0	0
lookup-large	baseline-b	7.1.3-mprotect-pv3-full-89e613bc0b2d	642ebb94-d987-4776-abf5-9cdaf3d7d222	15	0	0
